scene_stimulus,scene_label,scene_img,correct_key
JA,Negvi,stimuli/scenes/JA_1.jpg,1
JB,Somar,stimuli/scenes/JB_1.jpg,2
UA,Malbow,stimuli/scenes/UA_1.jpg,3
UB,Tulon,stimuli/scenes/UB_1.jpg,4
