run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency,integrated_stimulus,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,runs_trial.thisRepN,runs_trial.thisTrialN,runs_trial.thisN,runs_trial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,get_relatedness_keys.started,get_relatedness_keys.stopped,instructions_screen.started,text_instructions.started,key_welcome.started,instructions_screen.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,instruction_keys.started,text_keys.started,key_resp_keysInst.started,instruction_keys.stopped,key_resp_keysInst.keys,key_resp_keysInst.rt,key_resp_keysInst.duration,blank2000.started,text_2.started,text_2.stopped,blank2000.stopped,get_run_stim_list.started,get_run_stim_list.stopped,integrated_scene_presentation.started,image_integrated.started,integrated_scene_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,congruency_response.stopped,trials.key_resp_congruency.keys,trials.key_resp_congruency.corr,trials.key_resp_congruency.rt,trials.key_resp_congruency.duration,blank1000.started,text_8.started,blank1000.stopped,text_8.stopped,text_congruency.stopped,key_resp_congruency.stopped,participant,session,group,delay,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,6,6,0,stimuli/TESTscenes/UA_1.jpg,Undersea,Somar,stimuli/items/jungle_object_2.png,Jungle,object,si,stimuli/integrated/undersea_a_jungle_object_2.jpg,p,0,0.8351916660321876,None,0,0,0,0,0,6,6,6,37.066335750045255,,,,,,,,,,,,,,,,,,,,,,,,37.0607507500099,37.066335750045255,37.97613179194741,37.97621966700535,37.985887333983555,37.985887333983555,38.82471745903604,p,0,0.8351916660321876,None,38.82480162498541,38.83511975000147,39.819598042056896,41.05135695904028,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,7,7,0,stimuli/TESTscenes/JB_1.jpg,Jungle,Malbow,stimuli/items/jungle_animal_1.png,Jungle,animal,sc,stimuli/integrated/jungle_a_jungle_animal_1.jpg,q,0,0.7443929580040276,None,0,0,0,0,0,7,7,7,41.05135695904028,,,,,,,,,,,,,,,,,,,,,,,,41.04239654203411,41.05135695904028,41.82625391695183,41.82633979199454,41.83567037503235,41.83567037503235,42.58719429199118,q,0,0.7443929580040276,None,42.587310250033624,42.59811899997294,43.58491466694977,43.61678666702937,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,8,8,0,stimuli/TESTscenes/UA_1.jpg,Undersea,Somar,stimuli/items/undersea_object_31.png,Undersea,object,sc,stimuli/integrated/undersea_b_undersea_object_31.jpg,p,1,0.40870729193557054,None,0,0,0,0,0,8,8,8,43.61678666702937,,,,,,,,,,,,,,,,,,,,,,,,43.61227675003465,43.61678666702937,45.59226641699206,45.592331249965355,45.60221658402588,45.60221658402588,46.020858166972175,p,1,0.40870729193557054,None,46.020972584025,46.031256334041245,47.019098291988485,48.24101866700221,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,9,9,0,stimuli/TESTscenes/JA_1.jpg,Jungle,Tulon,stimuli/items/undersea_object_7.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_7.jpg,q,1,0.7000076250405982,None,0,0,0,0,0,9,9,9,48.24101866700221,,,,,,,,,,,,,,,,,,,,,,,,48.2287743750494,48.24101866700221,49.0245284170378,49.02462124999147,49.03582920902409,49.03582920902409,49.73773954203352,q,1,0.7000076250405982,None,49.73787554202136,49.749694625032134,50.7362374169752,50.77481504203752,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,10,10,0,stimuli/TESTscenes/JB_1.jpg,Jungle,Malbow,stimuli/items/jungle_object_28.png,Jungle,object,sc,stimuli/integrated/jungle_b_jungle_object_28.jpg,p,1,0.6800057489890605,None,0,0,0,0,0,10,10,10,50.77481504203752,,,,,,,,,,,,,,,,,,,,,,,,50.76965129200835,50.77481504203752,52.74190204194747,52.74197695904877,52.75276970898267,52.75276970898267,53.43766558403149,p,1,0.6800057489890605,None,53.43784350005444,53.44907754205633,54.435955542023294,54.47232499998063,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,11,11,0,stimuli/TESTscenes/JA_1.jpg,Jungle,Tulon,stimuli/items/undersea_object_20.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_20.jpg,p,0,0.6933360829716548,None,0,0,0,0,0,11,11,11,54.47232499998063,,,,,,,,,,,,,,,,,,,,,,,,54.467067208955996,54.47232499998063,56.4416207090253,56.44169983395841,56.4521962919971,56.4521962919971,57.15422937495168,p,0,0.6933360829716548,None,57.15436020900961,57.16501516697463,58.15258766699117,59.34665258403402,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,12,12,0,stimuli/TESTscenes/UA_1.jpg,Undersea,Somar,stimuli/items/undersea_object_33.png,Undersea,object,sc,stimuli/integrated/undersea_b_undersea_object_33.jpg,p,1,0.8513446249999106,None,0,0,0,0,0,12,12,12,59.34665258403402,,,,,,,,,,,,,,,,,,,,,,,,59.340955166961066,59.34665258403402,60.15894420898985,60.15902820904739,60.16918800002895,60.16918800002895,61.02578787505627,p,1,0.8513446249999106,None,61.025935749989,61.03786033403594,62.02534316701349,63.07806512503885,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,13,13,0,stimuli/TESTscenes/UB_1.jpg,Undersea,Negvi,stimuli/items/undersea_animal_28.png,Undersea,animal,sc,stimuli/integrated/undersea_a_undersea_animal_28.jpg,None,0,,,0,0,0,0,0,13,13,13,63.07806512503885,,,,,,,,,,,,,,,,,,,,,,,,63.07255587505642,63.07806512503885,64.03619324997999,64.03625066694804,64.04110324999783,64.04110324999783,65.03461933403742,None,0,,,65.03470458404627,65.03936879197136,66.0248899590224,67.23257500003092,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,14,14,0,stimuli/TESTscenes/UA_1.jpg,Undersea,Somar,stimuli/items/undersea_object_37.png,Undersea,object,sc,stimuli/integrated/undersea_a_undersea_object_37.jpg,q,0,0.5036917079705745,None,0,0,0,0,0,14,14,14,67.23257500003092,,,,,,,,,,,,,,,,,,,,,,,,67.2129498750437,67.23257500003092,68.03590745897964,68.03610391705297,68.04272108396981,68.04272108396981,68.55378433398437,q,0,0.5036917079705745,None,68.55399174999911,68.56587100005709,69.55266666703392,70.56716833403334,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,15,15,0,stimuli/TESTscenes/JA_1.jpg,Jungle,Tulon,stimuli/items/undersea_object_5.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_5.jpg,q,1,0.5933995830127969,None,0,0,0,0,0,15,15,15,70.56716833403334,,,,,,,,,,,,,,,,,,,,,,,,70.56144595902879,70.56716833403334,71.55965679197107,71.55974833399523,71.5674509590026,71.5674509590026,72.17059766699094,q,1,0.5933995830127969,None,72.17075020901393,72.1820239169756,73.16930620896164,74.20909616700374,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
