qst_num,question,options,correct_answer,label_current,scene_left,scene_right
0,"Were there flowers in this jungle? If so, what color were they?","1. Yes, Red and yellow\n2. Yes, Purple and orange\n3. No, there weren't any flowers",1,Tulon,stimuli/scenes/JA_1.jpg,stimuli/scenes/JA_2.jpg
1,Was the ground green or brown? Was it grassy or covered in leaves?,1. Green and Grassy\n2. Brown and Leaves\n3. Mossy,2,Tulon,stimuli/scenes/JA_1.jpg,stimuli/scenes/JA_2.jpg
2,How did the tree trunks look like?,1. Wide and Wing-like \n2. Mossy and thin\n3. Dark and charred-looking,1,Tulon,stimuli/scenes/JA_1.jpg,stimuli/scenes/JA_2.jpg
3,How does the lighting looks like in this jungle?,"1. Sun is shining brightly through the foliage, the air is clear. \n2. The sun does not penetrate the mist and thick foliage.\n3. The lighting is dim and green-tinted, with shadows but no visible sunbeams.",1,Tulon,stimuli/scenes/JA_1.jpg,stimuli/scenes/JA_2.jpg
