qst_num,question,options,correct_answer,label_current,scene_left,scene_right
0,What was the dominant ground texture throughout the scene?,1. Green grass\n2. Fallen leaves\n3. Thick green moss\n4. Shrubs and dirt,3,Tulon,stimuli/scenes/JB_1.jpg,stimuli/scenes/JB_2.jpg
1,"Were there flowers in this jungle? If yes, which color?","1. Yes, purple\n2. Yes, red\n3. No",3,Tulon,stimuli/scenes/JB_1.jpg,stimuli/scenes/JB_2.jpg
2,What atmospheric condition defined the scene?,1. Foggy and misty\n2. Bright sunlight\n3. Partly cloudy,1,Tulon,stimuli/scenes/JB_1.jpg,stimuli/scenes/JB_2.jpg
3,What type of vegetation was most visually prominent?,1. Wide wing-like trees and green leaves\n2.Tall trees with vines and moss\n3. Bright tropical flowers and open palm trees,2,Tulon,stimuli/scenes/JB_1.jpg,stimuli/scenes/JB_2.jpg
