qst_num,question,options,correct_answer,label_current,scene_left,scene_right
0,How did the ground look?,1. Completely covered with rocks. \n2. Mostly sandy with some rocks and corals. \n3. Covered by seaweed and corals.,2,Tulon,stimuli/scenes/UA_1.jpg,stimuli/scenes/UA_2.jpg
1,How did the water look like?,1. Clear blue water with bright sunlight streaming through.\n2. Murky and greenish with low visibility.\n3. Slightly cloudy with muted light and no strong sun rays,1,Tulon,stimuli/scenes/UA_1.jpg,stimuli/scenes/UA_2.jpg
2,Were there corals and seaweed? How did they look like?,"1. Green seaweed, no corals \n2. No seaweed, pink and orange corals. \n3. Yellow seaweed, colorful corals.",2,Tulon,stimuli/scenes/UA_1.jpg,stimuli/scenes/UA_2.jpg
3,How open did the underwater space feel?,1. Wide and open with lots of clear space between features\n2. Very crowded with dense coral structures everywhere\n3. Narrow and enclosed with plants surrounding the view,1,Tulon,stimuli/scenes/UA_1.jpg,stimuli/scenes/UA_2.jpg
