filename,prediction
jungle_animal_1.png,0.9166272878646850
jungle_animal_2.png,0.924477517604828
jungle_animal_3.png,0.8172950744628910
jungle_animal_4.png,0.9185360074043270
jungle_animal_5.png,0.8777671456336980
jungle_animal_6.png,0.9179177284240720
jungle_animal_7.png,0.9263738393783570
jungle_animal_8.png,0.8037862777709960
jungle_animal_9.png,0.8969357013702390
jungle_animal_10.png,0.9566732048988340
jungle_animal_11.png,0.9463818073272700
jungle_animal_12.png,0.9188839197158810
jungle_animal_13.png,0.9343774318695070
jungle_animal_14.png,0.8855031728744510
jungle_animal_15.png,0.8625198006629940
jungle_animal_16.png,0.7715650796890260
jungle_animal_17.png,0.822903573513031
jungle_animal_18.png,0.8801566958427430
jungle_animal_19.png,0.8984588980674740
jungle_animal_20.png,0.9090947508811950
jungle_object_1.png,0.8318629860877990
jungle_object_2.png,0.8515534400939940
jungle_object_3.png,0.9060187935829160
jungle_object_4.png,0.8024826645851140
jungle_object_5.png,0.8864405155181890
jungle_object_6.png,0.9300169944763180
jungle_object_7.png,0.7801293730735780
jungle_object_8.png,0.8712851405143740
jungle_object_9.png,0.9002397060394290
jungle_object_10.png,0.8658552169799810
jungle_object_11.png,0.8969495892524720
jungle_object_12.png,0.8780270218849180
jungle_object_13.png,0.8681126236915590
jungle_object_14.png,0.8752253651618960
jungle_object_15.png,0.884453296661377
jungle_object_16.png,0.938974678516388
jungle_object_17.png,0.8808161020278930
jungle_object_18.png,0.8730106949806210
jungle_object_19.png,0.8662678599357610
jungle_object_20.png,0.9197418093681340
undersea_animal_1.png,0.8203518390655520
undersea_animal_2.png,0.9574071168899540
undersea_animal_3.png,0.8672211766242980
undersea_animal_4.png,0.7983701229095460
undersea_animal_5.png,0.9077123999595640
undersea_animal_6.png,0.7636781930923460
undersea_animal_7.png,0.8656432628631590
undersea_animal_8.png,0.8641862273216250
undersea_animal_9.png,0.8348315954208370
undersea_animal_10.png,0.9402590990066530
undersea_animal_11.png,0.9195425510406490
undersea_animal_12.png,0.8232351541519170
undersea_animal_13.png,0.7746592164039610
undersea_animal_14.png,0.7965012788772580
undersea_animal_15.png,0.8487709760665890
undersea_animal_16.png,0.8946532607078550
undersea_animal_17.png,0.9012917280197140
undersea_animal_18.png,0.9103450179100040
undersea_animal_19.png,0.8864138722419740
undersea_animal_20.png,0.8504907488822940
undersea_object_1.png,0.8447112441062930
undersea_object_2.png,0.92229026556015
undersea_object_3.png,0.9505200982093810
undersea_object_4.png,0.8015379309654240
undersea_object_5.png,0.9330416321754460
undersea_object_6.png,0.7466624975204470
undersea_object_7.png,0.8703732490539550
undersea_object_8.png,0.8985844850540160
undersea_object_9.png,0.8683611154556270
undersea_object_10.png,0.9427213668823240
undersea_object_11.png,0.7811028957366940
undersea_object_12.png,0.9115387201309200
undersea_object_13.png,0.9562511444091800
undersea_object_14.png,0.8913965225219730
undersea_object_15.png,0.8259722590446470
undersea_object_16.png,0.9426661729812620
undersea_object_17.png,0.8443980813026430
undersea_object_18.png,0.7268890738487240
undersea_object_19.png,0.9133038520812990
undersea_object_20.png,0.8186564445495610
