item_cat,item_type,encoding_item_stimulus,norming_item_stimulus,t_stat,p_value,jungle_rating_mean,jungle_rating_std,undersea_rating_mean,undersea_rating_std
Jungle,object,stimuli/items/jungle_object_5.png,stimuli/items/jungle_objects_4.png,15.158,0,6.689,2.214,1.453,1.102
Jungle,object,stimuli/items/jungle_object_6.png,stimuli/items/jungle_objects_28.png,15.119,0,7.18,2.057,1.7,1.529
Jungle,object,stimuli/items/jungle_object_7.png,stimuli/items/jungle_objects_3.png,14.627,0,7,2.402,1.319,1.218
Jungle,object,stimuli/items/jungle_object_8.png,stimuli/items/jungle_objects_38.png,13.56,0,7.083,2.664,1.529,1.172
Jungle,object,stimuli/items/jungle_object_9.png,stimuli/items/jungle_objects_13.png,12.95,0,7.408,1.892,2.388,1.945
Jungle,object,stimuli/items/jungle_object_10.png,stimuli/items/jungle_objects_15.png,11.523,0,6.22,2.743,1.5,0.931
Jungle,object,stimuli/items/jungle_object_11.png,stimuli/items/jungle_objects_5.png,11.049,0,6.164,2.942,1.182,0.582
Jungle,object,stimuli/items/jungle_object_12.png,stimuli/items/jungle_objects_39.png,10.966,0,6.66,2.797,1.755,1.422
Jungle,object,stimuli/items/jungle_object_13.png,stimuli/items/jungle_objects_27.png,9.65,0,6.188,2.582,2.118,1.505
Jungle,object,stimuli/items/jungle_object_14.png,stimuli/items/jungle_objects_1.png,9.162,0,6.94,2.502,2.5,2.341
Jungle,object,stimuli/items/jungle_object_15.png,stimuli/items/jungle_objects_31.png,9.141,0,5.52,2.742,1.551,1.324
Jungle,object,stimuli/items/jungle_object_16.png,stimuli/items/jungle_objects_25.png,9.08,0,5.04,2.976,1.14,0.606
Jungle,object,stimuli/items/jungle_object_17.png,stimuli/items/jungle_objects_18.png,8.987,0,5.021,2.877,1.24,0.744
Jungle,object,stimuli/items/jungle_object_18.png,stimuli/items/jungle_objects_24.png,8.269,0,6.837,2.435,2.816,2.378
Jungle,object,stimuli/items/jungle_object_19.png,stimuli/items/jungle_objects_32.png,8.25,0,5.72,2.907,1.82,1.65
Jungle,object,stimuli/items/jungle_object_20.png,stimuli/items/jungle_objects_21.png,7.848,0,6.04,2.74,2.102,2.22
Undersea,animal,stimuli/items/undersea_animal_1.png,stimuli/items/undersea_animals_3.png,-120.467,0,1.062,0.32,8.882,0.325
Undersea,animal,stimuli/items/undersea_animal_2.png,stimuli/items/undersea_animals_11.png,-106.183,0,1.08,0.274,8.878,0.439
Undersea,animal,stimuli/items/undersea_animal_3.png,stimuli/items/undersea_animals_10.png,-106.16,0,1.082,0.277,8.88,0.435
Undersea,animal,stimuli/items/undersea_animal_4.png,stimuli/items/undersea_animals_2.png,-102.056,0,1.06,0.24,8.878,0.484
Undersea,animal,stimuli/items/undersea_animal_5.png,stimuli/items/undersea_animals_40.png,-99.783,0,1.082,0.344,8.882,0.431
Undersea,animal,stimuli/items/undersea_animal_6.png,stimuli/items/undersea_animals_14.png,-86.586,0,1.1,0.364,8.88,0.521
Undersea,animal,stimuli/items/undersea_animal_7.png,stimuli/items/undersea_animals_4.png,-72.081,0,1.18,0.56,8.8,0.495
Undersea,animal,stimuli/items/undersea_animal_8.png,stimuli/items/undersea_animals_34.png,-60.848,0,1.2,0.606,8.74,0.633
Undersea,animal,stimuli/items/undersea_animal_9.png,stimuli/items/undersea_animals_6.png,-53.171,0,1.294,0.879,8.837,0.472
Undersea,animal,stimuli/items/undersea_animal_10.png,stimuli/items/undersea_animals_27.png,-51.022,0,1.137,0.401,8.653,0.969
Undersea,animal,stimuli/items/undersea_animal_11.png,stimuli/items/undersea_animals_28.png,-50.741,0,1.255,0.927,8.8,0.405
Undersea,animal,stimuli/items/undersea_animal_12.png,stimuli/items/undersea_animals_19.png,-48.217,0,1.265,0.93,8.82,0.596
Undersea,animal,stimuli/items/undersea_animal_13.png,stimuli/items/undersea_animals_38.png,-41.344,0,1.078,0.392,8.612,1.239
Undersea,animal,stimuli/items/undersea_animal_14.png,stimuli/items/undersea_animals_36.png,-39.94,0,1.224,1.026,8.583,0.767
Undersea,animal,stimuli/items/undersea_animal_15.png,stimuli/items/undersea_animals_17.png,-38.178,0,1.265,0.7,8.686,1.175
Undersea,animal,stimuli/items/undersea_animal_16.png,stimuli/items/undersea_animals_22.png,-37.902,0,1.34,1.303,8.837,0.472
Undersea,animal,stimuli/items/undersea_animal_17.png,stimuli/items/undersea_animals_25.png,-36.675,0,1.56,1.358,8.88,0.385
Undersea,animal,stimuli/items/undersea_animal_18.png,stimuli/items/undersea_animals_23.png,-35.917,0,1.49,1.325,8.745,0.56
Undersea,animal,stimuli/items/undersea_animal_19.png,stimuli/items/undersea_animals_24.png,-35.282,0,1.569,1.345,8.857,0.54
Undersea,animal,stimuli/items/undersea_animal_20.png,stimuli/items/undersea_animals_33.png,-30.017,0,1.388,1.096,8.58,1.279
Undersea,object,stimuli/items/undersea_object_1.png,stimuli/items/undersea_objects_24.png,-38.153,0,1.061,0.242,8.4,1.325
Undersea,object,stimuli/items/undersea_object_2.png,stimuli/items/undersea_objects_3.png,-37.466,0,1.4,1.01,8.52,0.886
Undersea,object,stimuli/items/undersea_object_3.png,stimuli/items/undersea_objects_22.png,-32.658,0,1.429,1.041,8.5,1.092
Undersea,object,stimuli/items/undersea_object_4.png,stimuli/items/undersea_objects_28.png,-27.429,0,1.878,1.523,8.62,0.83
Undersea,object,stimuli/items/undersea_object_5.png,stimuli/items/undersea_objects_17.png,-24.886,0,1.556,1.423,8.444,1.307
Undersea,object,stimuli/items/undersea_object_6.png,stimuli/items/undersea_objects_9.png,-24.354,0,1.265,0.569,8.039,1.865
Undersea,object,stimuli/items/undersea_object_7.png,stimuli/items/undersea_objects_31.png,-20.993,0,1.512,1.121,8.172,1.798
Undersea,object,stimuli/items/undersea_object_8.png,stimuli/items/undersea_objects_5.png,-18.522,0,1.48,1.015,7.755,2.165
Undersea,object,stimuli/items/undersea_object_9.png,stimuli/items/undersea_objects_1.png,-17.216,0,1.449,1.308,7.56,2.12
Undersea,object,stimuli/items/undersea_object_10.png,stimuli/items/undersea_objects_33.png,-16.872,0,1.94,2.064,8.14,1.578
Undersea,object,stimuli/items/undersea_object_11.png,stimuli/items/undersea_objects_4.png,-12.969,0,1.1,0.303,5.833,2.563
Undersea,object,stimuli/items/undersea_object_12.png,stimuli/items/undersea_objects_15.png,-12.789,0,1.824,1.571,6.857,2.309
Undersea,object,stimuli/items/undersea_object_13.png,stimuli/items/undersea_objects_37.png,-12.457,0,1.46,1.054,5.72,2.176
Undersea,object,stimuli/items/undersea_object_14.png,stimuli/items/undersea_objects_25.png,-11.447,0,1.653,1.3,6.54,2.697
Undersea,object,stimuli/items/undersea_object_15.png,stimuli/items/undersea_objects_35.png,-10.99,0,1.583,1.269,6.255,2.675
Undersea,object,stimuli/items/undersea_object_16.png,stimuli/items/undersea_objects_36.png,-10.954,0,2.02,1.561,6.804,2.646
Undersea,object,stimuli/items/undersea_object_17.png,stimuli/items/undersea_objects_2.png,-10.94,0,1.531,1.401,5.882,2.422
Undersea,object,stimuli/items/undersea_object_18.png,stimuli/items/undersea_objects_7.png,-10.879,0,1.16,0.618,5.646,2.847
Undersea,object,stimuli/items/undersea_object_19.png,stimuli/items/undersea_objects_18.png,-10.876,0,1.51,1.371,5.66,2.3
Undersea,object,stimuli/items/undersea_object_20.png,stimuli/items/undersea_objects_20.png,-10.438,0,1.469,1.243,5.74,2.586
