scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,4,0,0,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,0.25664662499912083,None,,,,,,,,,,,,,,0,1,1,3,0,0,0,0,,,,,,,,,21.449622457963414,,,,,,,,,,,,,,,,,,21.440935499966145,21.449622457963414,21.449622457963414,21.449622457963414,21.449622457963414,22.391033499967307,22.651975166983902,space,0.25664662499912083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,4,1,1,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.0017832499579526484,None,,,,,,,,,,,,,,0,1,1,3,0,1,1,1,,,,,,,,,22.69965245795902,,,,,,,,,,,,,,,,,,22.69163524999749,22.69965245795902,22.69965245795902,22.69965245795902,22.69965245795902,23.65086929197423,23.659879874961916,space,0.0017832499579526484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,4,2,2,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.055782833020202816,None,,,,,,,,,,,,,,0,1,1,3,0,2,2,2,,,,,,,,,23.705742791993544,,,,,,,,,,,,,,,,,,23.69723883300321,23.705742791993544,23.705742791993544,23.705742791993544,23.705742791993544,24.65787954197731,24.718028208008036,space,0.055782833020202816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,1,1,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,2,0,0,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,0.942577000008896,None,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,24.776018416974694,,,,,,,,,,,,,,,,,,24.76748499996029,24.776018416974694,24.776018416974694,24.776018416974694,24.776018416974694,25.707969832990784,26.65726516698487,space,0.942577000008896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,2,1,1,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.42577941599301994,None,,,,,,,,,,,,,,0,2,2,1,0,1,1,1,,,,,,,,,26.708266582980286,,,,,,,,,,,,,,,,,,26.700258666998707,26.708266582980286,26.708266582980286,26.708266582980286,26.708266582980286,27.648819750000257,28.085234624973964,space,0.42577941599301994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,2,2,2,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.11874350003199652,None,,,,,,,,,,,,,,0,2,2,1,0,2,2,2,,,,,,,,,28.141383291978855,,,,,,,,,,,,,,,,,,28.133392832998652,28.141383291978855,28.141383291978855,28.141383291978855,28.141383291978855,29.083813083008863,29.209376042010263,space,0.11874350003199652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,2,2,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,1,0,0,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,1.1073561669909395,None,,,,,,,,,,,,,,0,3,3,0,0,0,0,0,,,,,,,,,29.27297416696092,,,,,,,,,,,,,,,,,,29.264775457966607,29.27297416696092,29.27297416696092,29.27297416696092,29.27297416696092,30.206179166969378,31.318527291994542,space,1.1073561669909395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,1,1,1,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.41742162499576807,None,,,,,,,,,,,,,,0,3,3,0,0,1,1,1,,,,,,,,,31.376488125009928,,,,,,,,,,,,,,,,,,31.368272082996555,31.376488125009928,31.376488125009928,31.376488125009928,31.376488125009928,32.31699970801128,32.74130170798162,space,0.41742162499576807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
