scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,2,1,1,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.6836060409550555,None,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,9.265582917025313,,,,,,,,,,,,,,,,,,9.25730937498156,9.265582917025313,9.265582917025313,9.265582917025313,9.265582917025313,10.19982533401344,10.89254929200979,space,0.6836060409550555,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,2,2,2,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.0020622499869205058,None,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,10.945323374995496,,,,,,,,,,,,,,,,,,10.937735499988776,10.945323374995496,10.945323374995496,10.945323374995496,10.945323374995496,11.892272958997637,11.901644208992366,space,0.0020622499869205058,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,,1,1,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,4,0,0,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,0.05930204101605341,None,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,11.963363874994684,,,,,,,,,,,,,,,,,,11.955106167006306,11.963363874994684,11.963363874994684,11.963363874994684,11.963363874994684,12.89910629199585,12.960205917013809,space,0.05930204101605341,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,4,1,1,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.33421837497735396,None,,,,,,,,,,0,2,2,3,0,1,1,1,,,,,13.013114334025886,,,,,,,,,,,,,,,,,,13.005208208982367,13.013114334025886,13.013114334025886,13.013114334025886,13.013114334025886,13.95016658399254,14.294586749980226,space,0.33421837497735396,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,4,2,2,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.26271124999038875,None,,,,,,,,,,0,2,2,3,0,2,2,2,,,,,14.345226750010625,,,,,,,,,,,,,,,,,,14.33750725002028,14.345226750010625,14.345226750010625,14.345226750010625,14.345226750010625,15.291234874981456,15.55950854200637,space,0.26271124999038875,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,,2,2,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,3,0,0,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,0.5322800000431016,None,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,15.61915541702183,,,,,,,,,,,,,,,,,,15.610853084013797,15.61915541702183,15.61915541702183,15.61915541702183,15.61915541702183,16.55001499998616,17.084353625017684,space,0.5322800000431016,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,3,1,1,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.5100972909713164,None,,,,,,,,,,0,3,3,2,0,1,1,1,,,,,17.13684774999274,,,,,,,,,,,,,,,,,,17.12932545901276,17.13684774999274,17.13684774999274,17.13684774999274,17.13684774999274,18.083178959030192,18.600428250036202,space,0.5100972909713164,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,3,2,2,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.04887245799181983,None,,,,,,,,,,0,3,3,2,0,2,2,2,,,,,18.651788250019308,,,,,,,,,,,,,,,,,,18.644312541990075,18.651788250019308,18.651788250019308,18.651788250019308,18.651788250019308,19.60036395903444,19.661209625017364,space,0.04887245799181983,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,,3,3,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.664794209005777,19.6773449589964,19.6773449589964,20.6774484590278,space,0.9908684159745462,None,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,,0,0,0,,,,,,,,JB,TESTstimuli/TESTscenes/JB_1.jpg,TESTstimuli/TESTscenes/JB_2.jpg,TESTstimuli/TESTscenes/JB_3.jpg,Malbow,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
