scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,4.436711249989457,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,14.940307290991768,,,,,,,,,,,,,,,,,,14.933107833028771,14.940307290991768,14.940307290991768,14.940307290991768,14.940307290991768,14.940307290991768,19.38371000002371,space,4.436711249989457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.802052040991839,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,19.445730333041865,,,,,,,,,,,,,,,,,,19.438036916020792,19.445730333041865,19.445730333041865,19.445730333041865,19.445730333041865,19.445730333041865,20.2496943330043,space,0.802052040991839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.686148000007961,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,20.305466291029006,,,,,,,,,,,,,,,,,,20.298212166002486,20.305466291029006,20.305466291029006,20.305466291029006,20.305466291029006,20.305466291029006,20.99916150001809,space,0.686148000007961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,,1,1,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,1,0,0,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,4.396378249977715,None,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,21.130366583005525,,,,,,,,,,,,,,,,,,21.12318120803684,21.130366583005525,21.130366583005525,21.130366583005525,21.130366583005525,21.130366583005525,25.530792291043326,space,4.396378249977715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,1,1,1,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.7291043750010431,None,,,,,,,,,,,,,,,,,,0,2,2,0,0,1,1,1,,,,,,,,,25.596334875037428,,,,,,,,,,,,,,,,,,25.587528875039425,25.596334875037428,25.596334875037428,25.596334875037428,25.596334875037428,25.596334875037428,26.33019599999534,space,0.7291043750010431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,1,2,2,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.8194816659670323,None,,,,,,,,,,,,,,,,,,0,2,2,0,0,2,2,2,,,,,,,,,26.385935041005723,,,,,,,,,,,,,,,,,,26.37859562499216,26.385935041005723,26.385935041005723,26.385935041005723,26.385935041005723,26.385935041005723,27.209157541044988,space,0.8194816659670323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,,2,2,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,4.9652473329915665,None,,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,27.324311958043836,,,,,,,,,,,,,,,,,,27.316953041008674,27.324311958043836,27.324311958043836,27.324311958043836,27.324311958043836,27.324311958043836,32.29843291599536,space,4.9652473329915665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.723960957955569,None,,,,,,,,,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,32.35282745800214,,,,,,,,,,,,,,,,,,32.345015583036,32.35282745800214,32.35282745800214,32.35282745800214,32.35282745800214,32.35282745800214,33.082172250025906,space,0.723960957955569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
