scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014090582961216569,0.022966832970269024,1.000053416006267,3.965363165945746,space,2.6664567079860717,None,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
JA,Somar,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,4.013690416002646,,,,,,,,,3.982164916000329,3.982212541042827,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
JB,Negvi,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,0,1,1,1,,,,,,,,,4.013690416002646,,,,,,,,,3.98230000003241,3.9823325000470504,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
UA,Tulon,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,0,2,2,2,,,,,,,,,4.013690416002646,,,,,,,,,3.9824045409914106,3.9824338329490274,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
UB,Malbow,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,0,3,3,3,,,,,,,,,4.013690416002646,,,,,,,,,3.982502833008766,3.982530541019514,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.982570583000779,4.013690416002646,4.013690416002646,5.644614708027802,space,1.6264686239883304,None,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,1,0,0,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,4.028365332982503,None,,,,,0,0,0,0,0,0,0,0,5.794910249998793,,,,,,,,,,,,,,,,,,5.784352333052084,5.794910249998793,5.794910249998793,5.794910249998793,5.794910249998793,6.643044208060019,10.678231208003126,space,4.028365332982503,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,1,1,1,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,1.0200140420347452,None,,,,,0,0,0,0,0,1,1,1,10.736649665981531,,,,,,,,,,,,,,,,,,10.72914733295329,10.736649665981531,10.736649665981531,10.736649665981531,10.736649665981531,11.67595025000628,12.700490416027606,space,1.0200140420347452,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,1,2,2,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.512955917045474,None,,,,,0,0,0,0,0,2,2,2,12.758397083031014,,,,,,,,,,,,,,,,,,12.750366166001186,12.758397083031014,12.758397083031014,12.758397083031014,12.758397083031014,13.693051625043154,14.211129416013137,space,0.512955917045474,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,,0,0,0,scenes_group1.xlsx,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,1.973753625061363,None,,,,,0,1,1,1,0,0,0,0,14.337667832965963,,,,,,,,,,,,,,,,,,14.330493040964939,14.337667832965963,14.337667832965963,14.337667832965963,14.337667832965963,15.208197416039184,17.186085665947758,space,1.973753625061363,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.7991972080199048,None,,,,,0,1,1,1,0,1,1,1,17.246848082984798,,,,,,,,,,,,,,,,,,17.238566583022475,17.246848082984798,17.246848082984798,17.246848082984798,17.246848082984798,18.18173462501727,18.98542066605296,space,0.7991972080199048,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.47576604096684605,None,,,,,0,1,1,1,0,2,2,2,19.042018500040285,,,,,,,,,,,,,,,,,,19.034174707951024,19.042018500040285,19.042018500040285,19.042018500040285,19.042018500040285,19.98315670795273,20.460872540948913,space,0.47576604096684605,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,,1,1,0,scenes_group2.xlsx,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,1.7370193330571055,None,,,,,0,2,2,2,0,0,0,0,20.57217387505807,,,,,,,,,,,,,,,,,,20.564949000021443,20.57217387505807,20.57217387505807,20.57217387505807,20.57217387505807,21.45974629104603,23.200612458051182,space,1.7370193330571055,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,3,1,1,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.25165637501049787,None,,,,,0,2,2,2,0,1,1,1,23.258182000019588,,,,,,,,,,,,,,,,,,23.250221790978685,23.258182000019588,23.258182000019588,23.258182000019588,23.258182000019588,24.19208595796954,24.451465458027087,space,0.25165637501049787,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,3,2,2,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.42509141692426056,None,,,,,0,2,2,2,0,2,2,2,24.502441916032694,,,,,,,,,,,,,,,,,,24.494993207976222,24.502441916032694,24.502441916032694,24.502441916032694,24.502441916032694,25.441616415977478,25.868251082953066,space,0.42509141692426056,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,,2,2,0,scenes_group3.xlsx,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,1.4426008749287575,None,,,,,0,3,3,3,0,0,0,0,25.978168666013516,,,,,,,,,,,,,,,,,,25.97115912497975,25.978168666013516,25.978168666013516,25.978168666013516,25.978168666013516,26.867096500005573,28.311140291043557,space,1.4426008749287575,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,1.2622134579578415,None,,,,,0,3,3,3,0,1,1,1,28.362494291039184,,,,,,,,,,,,,,,,,,28.354129791026935,28.362494291039184,28.362494291039184,28.362494291039184,28.362494291039184,29.309445790946484,30.57716754102148,space,1.2622134579578415,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.14897529198788106,None,,,,,0,3,3,3,0,2,2,2,30.626838832977228,,,,,,,,,,,,,,,,,,30.619263208005577,30.626838832977228,30.626838832977228,30.626838832977228,30.626838832977228,31.56656841596123,31.717832166003063,space,0.14897529198788106,None,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,,3,3,0,scenes_group4.xlsx,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h19.28.441,TEST_training_task,,2025.2.4,None,2026-03-30 15h19.29.401945 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.719763125060126,31.72886999999173,31.72886999999173,,,,,,,,,
