scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,qst_num,question,options,correct_answer,label_current,scene_left,scene_right,key_rate_2.keys,key_rate_2.corr,key_rate_2.rt,key_rate_2.duration,key_question_2.keys,key_question_2.corr,key_question_2.rt,key_question_2.duration,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,p3_scene_loop.thisRepN,p3_scene_loop.thisTrialN,p3_scene_loop.thisN,p3_scene_loop.thisIndex,p3_vis_loop.thisRepN,p3_vis_loop.thisTrialN,p3_vis_loop.thisN,p3_vis_loop.thisIndex,skip_loop.thisRepN,skip_loop.thisTrialN,skip_loop.thisN,skip_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,part2_feedback.stopped,text_part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,part3_instructions_2.stopped,key_part3_instructions_2.keys,key_part3_instructions_2.rt,key_part3_instructions_2.duration,p3_reset_vis_vars.started,p3_reset_vis_vars.stopped,p3_skip_answered_questions.started,p3_skip_answered_questions.stopped,p3_blank1000.started,text.started,text.stopped,p3_blank1000.stopped,p3_visualize.started,text_p3_visualize.started,textbox_scene_name_2.started,p3_visualize.stopped,p3_rate.started,text_rate_2.started,key_rate_2.started,p3_rate.stopped,p3_vis_loop.key_rate_2.keys,p3_vis_loop.key_rate_2.corr,p3_vis_loop.key_rate_2.rt,p3_vis_loop.key_rate_2.duration,p3_question.started,text_question_2.started,text_option_2.started,key_question_2.started,text_5.started,p3_question.stopped,p3_vis_loop.key_question_2.keys,p3_vis_loop.key_question_2.corr,p3_vis_loop.key_question_2.rt,p3_vis_loop.key_question_2.duration,p3_study_again.started,study_scene_left.started,study_scene_right.started,study_name1_2.started,key_sceneLearn.started,text_6.started,text_7.started,p3_study_again.stopped,skip_loop.key_sceneLearn.keys,skip_loop.key_sceneLearn.rt,skip_loop.key_sceneLearn.duration,text_p3_visualize.stopped,textbox_scene_name_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.3706415410269983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,46.807804625015706,,,,,,,,,,,,,,,,,,46.800386582996,46.807804625015706,46.807804625015706,46.807804625015706,46.807804625015706,46.807804625015706,47.183506958012,space,0.3706415410269983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,3,3,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.186247333011124,47.19688929102267,47.19688929102267,47.650830333004706,space,0.45241799898212776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,0,0,0,,,,,,,,JA,stimuli/TESTscenes/JA_1.jpg,stimuli/TESTscenes/JA_2.jpg,stimuli/TESTscenes/JA_3.jpg,scene_JA_lbl,space,0.42362329200841486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,47.754782458010595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.74502550001489,47.754782458010595,47.754782458010595,47.754782458010595,47.754782458010595,47.754782458010595,48.18366004101699,space,0.42362329200841486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,1,1,0,,,,,,,,UB,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,stimuli/TESTscenes/UB_3.jpg,scene_UB_lbl,space,0.33703462398261763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,48.23636779101798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.227822458022274,48.23636779101798,48.23636779101798,48.23636779101798,48.23636779101798,48.23636779101798,48.578372541000135,space,0.33703462398261763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,2,2,0,,,,,,,,UA,stimuli/TESTscenes/UA_1.jpg,stimuli/TESTscenes/UA_2.jpg,stimuli/TESTscenes/UA_3.jpg,scene_UA_lbl,space,0.318375750008272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,48.63296766599524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.62453891601763,48.63296766599524,48.63296766599524,48.63296766599524,48.63296766599524,48.63296766599524,48.96142779101501,space,0.318375750008272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,3,3,0,,,,,,,,JB,stimuli/TESTscenes/JB_1.jpg,stimuli/TESTscenes/JB_2.jpg,stimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,space,0.3519839579821564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,49.025366208021296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.01672595800483,49.025366208021296,49.025366208021296,49.025366208021296,49.025366208021296,49.025366208021296,49.38392320802086,space,0.3519839579821564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.38415250001708,49.39621825001086,49.39621825001086,50.26760220801225,space,0.8641793749993667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.342521708022105,50.353168250003364,50.353168250003364,50.353168250003364,50.353168250003364,50.353168250003364,50.353168250003364,50.353168250003364,50.353168250003364,50.353168250003364,51.01515875000041,space,0.6591659580008127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.015224250004394,51.02495200000703,51.02495200000703,52.33304150000913,space,1.302294623979833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.41134829100338,52.42263529100455,52.42263529100455,52.42263529100455,52.42263529100455,52.42263529100455,52.42263529100455,52.42263529100455,52.42263529100455,52.42263529100455,53.0810858750192,space,0.6556565000209957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.081163750001,53.09188316599466,53.09188316599466,53.91094287499436,space,0.8103349579905625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,2,0,0,0,,TESTstimuli/TESTscenes/JB_3.jpg,,,,,,,,,,,,,,Malbow,2,1,1.1902768329891842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,54.26515125000151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.25782562501263,54.26515125000151,54.91473441600101,54.92469516600249,54.93099545800942,54.93099545800942,56.12829975000932,2,1,1.1902768329891842,None,56.133086250018096,56.14384066601633,57.13146562501788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,2,1,1,0,,TESTstimuli/TESTscenes/JB_1.jpg,,,,,,,,,,,,,,Malbow,2,1,0.23102191599900834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,57.16058870800771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.15552345800097,57.16058870800771,58.13201833300991,58.13213125002221,58.143099375010934,58.143099375010934,58.3780317500059,2,1,0.23102191599900834,None,58.378245666011935,58.38880404099473,59.37697241600836,59.40679900001851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,1,2,2,0,,TESTstimuli/TESTscenes/JA_3.jpg,,,,,,,,,,,,,,Tulon,1,1,0.2619916250114329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,59.40679900001851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4014228330052,59.40679900001851,60.38214129101834,60.38225333299488,60.39308475001599,60.39308475001599,60.661579750012606,1,1,0.2619916250114329,None,60.66180441601318,60.672108583006775,61.66014470800292,61.688334875012515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,2,3,3,0,,TESTstimuli/TESTscenes/JB_2.jpg,,,,,,,,,,,,,,Malbow,3,0,0.3997862499963958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,61.688334875012515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.683465833019,61.688334875012515,62.66585395799484,62.665969833004056,62.67625099999714,62.67625099999714,63.07856812499813,3,0,0.3997862499963958,None,63.08309258299414,63.09353645800729,64.07681525000953,64.10316679099924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,3,4,4,0,,TESTstimuli/TESTscenes/UA_2.jpg,,,,,,,,,,,,,,Negvi,3,1,0.2199901659914758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,64.10316679099924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.09783562499797,64.10316679099924,65.0813553330081,65.08146287500858,65.09290483299992,65.09290483299992,65.3163617910177,3,1,0.2199901659914758,None,65.32022337501985,65.32982162499684,66.31580316601321,66.33918629100663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,4,5,5,0,,TESTstimuli/TESTscenes/UB_3.jpg,,,,,,,,,,,,,,Somar,4,1,0.18988104100571945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,11,,,,,,,,,,,,,66.33918629100663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.33373904100154,66.33918629100663,67.32643820799422,67.32664054099587,67.33305579100852,67.33305579100852,67.52847662501154,4,1,0.18988104100571945,None,67.52877541599446,67.53955558300368,68.52651637501549,68.55091508300393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,3,6,6,0,,TESTstimuli/TESTscenes/UA_1.jpg,,,,,,,,,,,,,,Negvi,3,1,0.18201374998898245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,68.55091508300393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.54561050000484,68.55091508300393,69.53140004101442,69.53151479101507,69.5428026659938,69.5428026659938,69.72788066600333,3,1,0.18201374998898245,None,69.72810395801207,69.73912058302085,70.72671062502195,70.7555113749986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,1,7,7,0,,TESTstimuli/TESTscenes/JA_1.jpg,,,,,,,,,,,,,,Tulon,1,1,0.23783858300885186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,70.7555113749986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.75035520800157,70.7555113749986,71.73217341600684,71.73228445800487,71.74291312499554,71.74291312499554,71.98265095800161,1,1,0.23783858300885186,None,71.98282208299497,72.00967995802057,72.99318891600706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,1,8,8,0,,TESTstimuli/TESTscenes/JA_2.jpg,,,,,,,,,,,,,,Tulon,1,1,0.18765079200966284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,,,,,,,73.02120895800181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.01642254099716,73.02120895800181,73.98294187500142,73.98308758300846,73.99303633300588,73.99303633300588,74.19456279100268,1,1,0.18765079200966284,None,74.19471245800378,74.20488120801747,75.19319870800246,75.21725850002258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,4,9,9,0,,TESTstimuli/TESTscenes/UB_1.jpg,,,,,,,,,,,,,,Somar,4,1,0.24174908301210962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,75.21725850002258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.21222591600963,75.21725850002258,76.19807095799479,76.19819487500354,76.20981650002068,76.20981650002068,76.46168420801405,4,1,0.24174908301210962,None,76.46197908301838,76.4729341659986,77.46013304102235,77.48462054101401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,4,10,10,0,,TESTstimuli/TESTscenes/UB_2.jpg,,,,,,,,,,,,,,Somar,4,1,0.18131487400387414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,77.48462054101401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.47930541599635,77.48462054101401,78.46579841600033,78.4659182500036,78.4763417080103,78.4763417080103,78.66160079100518,4,1,0.18131487400387414,None,78.6617764160037,78.67277729100897,79.66011225001421,79.68603383301524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,3,11,11,0,,TESTstimuli/TESTscenes/UA_3.jpg,,,,,,,,,,,,,,Negvi,3,1,0.18525112498900853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,8,,,,,,,,,,,,,79.68603383301524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.68084720801562,79.68603383301524,80.66517125000246,80.6653077499941,80.67631025001174,80.67631025001174,80.86609604101977,3,1,0.18525112498900853,None,80.86631733301328,80.87862225002027,81.86507633302244,81.89064283302287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,2,12,0,1,,TESTstimuli/TESTscenes/JB_3.jpg,,,,,,,,,,,,,,Malbow,2,1,0.24022516701370478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12,5,,,,,,,,,,,,,81.89064283302287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88581862501451,81.89064283302287,82.87628154101549,82.87639025002136,82.88131879101275,82.88131879101275,83.12811987500754,2,1,0.24022516701370478,None,83.13136745800148,83.14249033300439,84.12676820802153,84.13510904100258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.12717650001287,84.13510904100258,84.13510904100258,85.24508695802069,space,1.1073976670159027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,3,How does the lighting looks like in this jungle?,"1. Sun is shining brightly through the foliage, the air is clear. 
2. The sun does not penetrate the mist and thick foliage.
3. The lighting is dim and green-tinted, with shadows but no visible sunbeams.",1,Malbow,stimuli/TESTscenes/JA_1.jpg,stimuli/TESTscenes/JA_2.jpg,3,0,2.079664541000966,None,2,0,5.350009458023123,None,space,1.1664756249811035,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0,0,0,0,97.82788112500566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.24651804100722,85.24661804101197,85.30096995801432,85.30103591599618,85.3010577080131,85.31394070800161,86.3357856250077,86.2981224580144,86.3267075830081,86.3357856250077,86.3357856250077,90.30954541600659,90.30960850001429,90.31492004101165,90.31492004101165,92.4004284160037,3,0,2.079664541000966,None,92.42068250000011,92.43065399999614,92.43065399999614,0.020201042003463954,92.43065399999614,97.7778433750209,2,0,5.350009458023123,None,97.81809254101245,97.82788112500566,97.82788112500566,97.82788112500566,97.82788112500566,97.82788112500566,97.82788112500566,99.0010745410109,space,1.1664756249811035,None,,,324,001,2026-04-26_18h33.29.245,TEST_training_task,,2025.2.4,None,2026-04-26 18h33.30.189141 +0200,
