scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01137316704262048,0.01841512497048825,0.9956015420611948,3.8595104169799015,space,2.594634082983248,None,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
JA,Somar,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,3.8951541669666767,,,,,,,,,3.876079958048649,3.8761277080047876,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
JB,Negvi,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,0,1,1,1,,,,,,,,,3.8951541669666767,,,,,,,,,3.8762139580212533,3.8762462079757825,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
UA,Tulon,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,0,2,2,2,,,,,,,,,3.8951541669666767,,,,,,,,,3.8763173329643905,3.8763464170042425,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
UB,Malbow,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,0,3,3,3,,,,,,,,,3.8951541669666767,,,,,,,,,3.876412249985151,3.876439208048396,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.876479458063841,3.8951541669666767,3.8951541669666767,5.186705374973826,space,1.2879783749813214,None,,,,,,,,,,,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
,,,1,0,0,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,9.321300167008303,None,,,,,0,0,0,0,0,0,0,0,5.333858917001635,,,,,,,,,,,,,,,,,,5.323841167031787,5.333858917001635,5.333858917001635,5.333858917001635,5.333858917001635,6.177186583052389,15.501977500040084,space,9.321300167008303,None,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
,,,1,1,1,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.6709399580722675,None,,,,,0,0,0,0,0,1,1,1,15.56664225005079,,,,,,,,,,,,,,,,,,15.557408167049289,15.56664225005079,15.56664225005079,15.56664225005079,15.56664225005079,16.499729542061687,17.17896179202944,space,0.6709399580722675,None,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
,,,1,2,2,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.3383421659236774,None,,,,,0,0,0,0,0,2,2,2,17.23989658302162,,,,,,,,,,,,,,,,,,17.232788000022992,17.23989658302162,17.23989658302162,17.23989658302162,17.23989658302162,18.169420000049286,18.513377125025727,space,0.3383421659236774,None,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
,,,,0,0,0,scenes_group1.xlsx,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_15h25.18.702,TEST_training_task,,2025.2.4,None,2026-03-30 15h25.19.646332 +0200,
