scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,1,0,0,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,0.1358497909968719,None,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,6.0913882500026375,,,,,,,,,,,,,,,,,,6.083167458011303,6.0913882500026375,6.0913882500026375,6.0913882500026375,6.0913882500026375,7.026349666004535,7.1678950829664245,space,0.1358497909968719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,1,1,1,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.0972257920075208,None,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,,,,,,,,,7.2249022499891,,,,,,,,,,,,,,,,,,7.216840040986426,7.2249022499891,7.2249022499891,7.2249022499891,7.2249022499891,8.166971332975663,8.267660540994257,space,0.0972257920075208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,1,2,2,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.7861050000065006,None,,,,,,,,,,,,,,,,,,0,1,1,0,0,2,2,2,,,,,,,,,8.321965124981944,,,,,,,,,,,,,,,,,,8.314773457997944,8.321965124981944,8.321965124981944,8.321965124981944,8.321965124981944,9.267112832982093,10.061324707989115,space,0.7861050000065006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,1,1,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,4,0,0,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,0.037367125041782856,None,,,,,,,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,10.122388250019867,,,,,,,,,,,,,,,,,,10.114444707985967,10.122388250019867,10.122388250019867,10.122388250019867,10.122388250019867,11.05975066596875,11.100742332986556,space,0.037367125041782856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,4,1,1,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.011285041982773691,None,,,,,,,,,,,,,,,,,,0,2,2,3,0,1,1,1,,,,,,,,,11.150168415973894,,,,,,,,,,,,,,,,,,11.142219125002157,11.150168415973894,11.150168415973894,11.150168415973894,11.150168415973894,12.098717249988113,12.111360749986488,space,0.011285041982773691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,4,2,2,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.551103083009366,None,,,,,,,,,,,,,,,,,,0,2,2,3,0,2,2,2,,,,,,,,,12.15894399996614,,,,,,,,,,,,,,,,,,12.150790165993385,12.15894399996614,12.15894399996614,12.15894399996614,12.15894399996614,13.108839749998879,13.6650971659692,space,0.551103083009366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,2,2,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,3,0,0,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,0.4953534989617765,None,,,,,,,,,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,,,,,13.74402491596993,,,,,,,,,,,,,,,,,,13.729195040999912,13.74402491596993,13.74402491596993,13.74402491596993,13.74402491596993,14.65973670798121,15.163588790979702,space,0.4953534989617765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,3,1,1,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.1443374580121599,None,,,,,,,,,,,,,,,,,,0,3,3,2,0,1,1,1,,,,,,,,,15.216812249971554,,,,,,,,,,,,,,,,,,15.206881000020076,15.216812249971554,15.216812249971554,15.216812249971554,15.216812249971554,16.159688290965278,16.31042554101441,space,0.1443374580121599,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
