scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,3,2,2,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.20562087401049212,None,,,,,,,,,,,,,,,,,,0,3,3,2,0,2,2,2,,,,,,,,,16.36099691601703,,,,,,,,,,,,,,,,,,16.35307762498269,16.36099691601703,16.36099691601703,16.36099691601703,16.36099691601703,17.299311125010718,17.510545708006248,space,0.20562087401049212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,3,3,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.513706833007745,17.52569445798872,17.52569445798872,19.033488457964268,space,1.5032651660148986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,0,0,0,,,,,,,,UA,TESTstimuli/TESTscenes/UA_1.jpg,TESTstimuli/TESTscenes/UA_2.jpg,TESTstimuli/TESTscenes/UA_3.jpg,Negvi,space,1.743005249009002,None,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,19.186766124970745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.17658379097702,19.186766124970745,19.186766124970745,19.186766124970745,19.186766124970745,19.186766124970745,20.933650915976614,space,1.743005249009002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,1,1,0,,,,,,,,JA,TESTstimuli/TESTscenes/JA_1.jpg,TESTstimuli/TESTscenes/JA_2.jpg,TESTstimuli/TESTscenes/JA_3.jpg,Tulon,space,1.5448882500058971,None,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,21.222945415996946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.21297399996547,21.222945415996946,21.222945415996946,21.222945415996946,21.222945415996946,21.222945415996946,22.777816290967166,space,1.5448882500058971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,2,2,0,,,,,,,,UB,TESTstimuli/TESTscenes/UB_1.jpg,TESTstimuli/TESTscenes/UB_2.jpg,TESTstimuli/TESTscenes/UB_3.jpg,Somar,space,2.933493707969319,None,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,22.90620799997123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.898269666009583,22.90620799997123,22.90620799997123,22.90620799997123,22.90620799997123,22.90620799997123,25.844435165985487,space,2.933493707969319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,3,3,0,,,,,,,,JB,TESTstimuli/TESTscenes/JB_1.jpg,TESTstimuli/TESTscenes/JB_2.jpg,TESTstimuli/TESTscenes/JB_3.jpg,Malbow,space,1.918641623982694,None,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,25.963130874966737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.95287170796655,25.963130874966737,25.963130874966737,25.963130874966737,25.963130874966737,25.963130874966737,27.885015207983088,space,1.918641623982694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.88523591600824,27.898556625004858,27.898556625004858,29.44427633297164,space,1.5351189579814672,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6669721659855,29.679307083017193,29.679307083017193,29.679307083017193,29.679307083017193,29.679307083017193,29.679307083017193,29.679307083017193,29.679307083017193,29.679307083017193,33.883915166021325,space,4.201391624985263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8840026659891,33.893330582999624,33.893330582999624,35.59930841601454,space,1.7030012909672223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.80526858300436,35.81675208301749,35.81675208301749,35.81675208301749,35.81675208301749,35.81675208301749,35.81675208301749,35.81675208301749,35.81675208301749,35.81675208301749,37.676891583018005,space,1.8545844579930417,None,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.67700154101476,37.68605395796476,37.68605395796476,39.47761195799103,space,1.779125123983249,None,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,1,0,0,0,,TESTstimuli/TESTscenes/JA_1.jpg,,,,,,,,,,,,,,Tulon,2,1,2.5385275420267135,None,,,,,,,,,,,,,,,,,0,0,0,0,39.800419082981534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79291212500539,39.800419082981534,40.481675582996104,40.490520374965854,40.497613749990705,40.497613749990705,43.04464720800752,2,1,2.5385275420267135,None,43.04884216596838,43.05868020799244,44.09699624998029,44.04318645800231,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,3,1,1,0,,TESTstimuli/TESTscenes/UA_3.jpg,,,,,,,,,,,,,,Negvi,2,0,0.39341704099206254,None,,,,,,,,,,,,,,,,,0,1,1,8,44.09699624998029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.092205749999266,44.09699624998029,45.048498624993954,45.055944708001334,45.06381262501236,45.06381262501236,45.460823750006966,2,0,0.39341704099206254,None,45.46507679100614,45.476086665992625,46.50601670797914,46.45995241601486,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,3,2,2,0,,TESTstimuli/TESTscenes/UA_1.jpg,,,,,,,,,,,,,,Negvi,2,0,0.41027504100929946,None,,,,,,,,,,,,,,,,,0,2,2,6,46.50601670797914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.50133862497751,46.50601670797914,47.464385833009146,47.471756874991115,47.49274529097602,47.49274529097602,47.91129066597205,2,0,0.41027504100929946,None,47.91148808301659,47.92158749996452,48.95669658301631,48.90984049998224,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,4,3,3,0,,TESTstimuli/TESTscenes/UB_3.jpg,,,,,,,,,,,,,,Somar,2,1,1.2611887489911169,None,,,,,,,,,,,,,,,,,0,3,3,11,48.95669658301631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.95169416599674,48.95669658301631,49.91549795801984,49.923417625017464,49.93078679096652,49.93078679096652,51.194005624973215,2,1,1.2611887489911169,None,51.19795208302094,51.209132916003,52.2405553329736,52.19327962497482,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,4,4,4,0,,TESTstimuli/TESTscenes/UB_1.jpg,,,,,,,,,,,,,,Somar,2,0,0.4131705830222927,None,,,,,,,,,,,,,,,,,0,4,4,9,52.2405553329736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.23561991599854,52.2405553329736,53.19893304101424,53.207465082989074,53.2146287499927,53.2146287499927,53.63263058301527,2,0,0.4131705830222927,None,53.63689270801842,53.6482602909673,54.67468170798384,54.63277866598219,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,1,5,5,0,,TESTstimuli/TESTscenes/JA_2.jpg,,,,,,,,,,,,,,Tulon,2,1,0.3403143329778686,None,,,,,,,,,,,,,,,,,0,5,5,1,54.67468170798384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.66968925000401,54.67468170798384,55.64307449996704,55.652394749980886,55.6584150409908,55.6584150409908,56.010949665971566,2,1,0.3403143329778686,None,56.01484633301152,56.02343349996954,57.058342374977656,57.00982312497217,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,2,6,6,0,,TESTstimuli/TESTscenes/JB_3.jpg,,,,,,,,,,,,,,Malbow,2,1,0.2907460000133142,None,,,,,,,,,,,,,,,,,0,6,6,5,57.058342374977656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.05347574996995,57.058342374977656,58.01374525000574,58.01791420800146,58.025054915982764,58.025054915982764,58.32698245800566,2,1,0.2907460000133142,None,58.32715774996905,58.3349486659863,59.374049375008326,59.326333458011504,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,4,7,7,0,,TESTstimuli/TESTscenes/UB_2.jpg,,,,,,,,,,,,,,Somar,2,0,0.34199379198253155,None,,,,,,,,,,,,,,,,,0,7,7,10,59.374049375008326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.36918808298651,59.374049375008326,60.332002707989886,60.34038995800074,60.34774766600458,60.34774766600458,60.69413529097801,2,0,0.34199379198253155,None,60.69803170801606,60.70692870800849,61.73702299996512,61.69322291598655,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,3,8,8,0,,TESTstimuli/TESTscenes/UA_2.jpg,,,,,,,,,,,,,,Negvi,3,0,0.5795702079776675,None,,,,,,,,,,,,,,,,,0,8,8,7,61.73702299996512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.73216258297907,61.73702299996512,62.69822387502063,62.706443583010696,62.714093665999826,62.714093665999826,63.29954895802075,3,0,0.5795702079776675,None,63.29971841600491,63.32646562496666,,64.30961833300535,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,2,9,9,0,,TESTstimuli/TESTscenes/JB_2.jpg,,,,,,,,,,,,,,Malbow,4,0,0.24705425003776327,None,,,,,,,,,,,,,,,,,0,9,9,4,64.36172737501329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.35687291598879,64.36172737501329,65.3096559579717,65.31935224996414,65.32562254101504,65.32562254101504,65.57753691601101,4,0,0.24705425003776327,None,65.57770187500864,65.58265591599047,66.61933408299228,66.57633158296812,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,1,10,10,0,,TESTstimuli/TESTscenes/JA_3.jpg,,,,,,,,,,,,,,Tulon,2,1,0.2094800830236636,None,,,,,,,,,,,,,,,,,0,10,10,2,66.61933408299228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.61467874998925,66.61933408299228,67.58195787499426,67.59149008296663,67.5980937500135,67.5980937500135,67.81081962498138,2,1,0.2094800830236636,None,67.81486445799237,67.82618066598661,68.85693566600094,68.80984629096929,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,2,11,11,0,,TESTstimuli/TESTscenes/JB_1.jpg,,,,,,,,,,,,,,Malbow,1,0,0.3524748749914579,None,,,,,,,,,,,,,,,,,0,11,11,3,68.85693566600094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.85222341597546,68.85693566600094,69.81517054099822,69.81529466598295,69.82601512497058,69.82601512497058,70.18390854098834,1,0,0.3524748749914579,None,70.18803124997066,70.1983682080172,71.227301832987,71.1815688330098,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,1,12,0,1,,TESTstimuli/TESTscenes/JA_3.jpg,,,,,,,,,,,,,,Tulon,,,,,,,,,,,,,,,,,,,,,1,0,12,2,71.227301832987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.22278895799536,71.227301832987,,,,,,,,,,,,,,,,,,,,,,
