scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06586229201639071,0.1191659169853665,0.9985185000114143,3.6685055840061978,space,2.376098082982935,None,,,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
JA,Tulon,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,3.700618167000357,,,,,,,,,3.6809716249699704,3.681021124997642,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
JB,Malbow,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,0,1,1,1,,,,,,,,,3.700618167000357,,,,,,,,,3.6811086669913493,3.6811403749743477,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
UA,Somar,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,0,2,2,2,,,,,,,,,3.700618167000357,,,,,,,,,3.6812105419812724,3.6812385839875787,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
UB,Negvi,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,0,3,3,3,,,,,,,,,3.700618167000357,,,,,,,,,3.681311584019568,3.6813392090261914,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.681381084024906,3.700618167000357,3.700618167000357,9.855972875026055,space,6.14933166699484,None,,,,,,,,,,,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,16.997818167030346,None,,,,,0,0,0,3,0,0,0,0,9.987597916973755,,,,,,,,,,,,,,,,,,9.976831624982879,9.987597916973755,9.987597916973755,9.987597916973755,9.987597916973755,9.987597916973755,26.99038675002521,space,16.997818167030346,None,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.9569391249679029,None,,,,,0,0,0,3,0,1,1,1,27.049150333972648,,,,,,,,,,,,,,,,,,27.040261833986733,27.049150333972648,27.049150333972648,27.049150333972648,27.049150333972648,27.049150333972648,28.016635000007227,space,0.9569391249679029,None,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.8078689170069993,None,,,,,0,0,0,3,0,2,2,2,28.067225624981802,,,,,,,,,,,,,,,,,,28.059708792017773,28.067225624981802,28.067225624981802,28.067225624981802,28.067225624981802,28.067225624981802,28.881908416980878,space,0.8078689170069993,None,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
,,,,0,0,0,scenes_group4.xlsx,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h44.11.429,TEST_training_task,,2025.2.4,2026-04-26 22h44.12.480234 +0200,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,,,,,,,,0,1,1,2,0,0,0,0,28.996555874997284,,,,,,,,,,,,,,,,,,28.98941029200796,28.996555874997284,28.996555874997284,28.996555874997284,28.996555874997284,28.996555874997284,,,,,,,,,,,,
