scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,p3_scene_loop.thisRepN,p3_scene_loop.thisTrialN,p3_scene_loop.thisN,p3_scene_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,part3_instructions_2.stopped,key_part3_instructions_2.keys,key_part3_instructions_2.rt,key_part3_instructions_2.duration,p3_reset_vis_vars.started,p3_reset_vis_vars.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,1,0,0,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,6.154357291001361,None,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,12.36563983396627,,,,,,,,,,,,,,,,,,12.356933709001169,12.36563983396627,12.36563983396627,12.36563983396627,12.36563983396627,13.306608791986946,19.476693750009872,space,6.154357291001361,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,1,1,1,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,1.312733584025409,None,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,,,,,,,,,,,,,19.539119833963923,,,,,,,,,,,,,,,,,,19.52733004197944,19.539119833963923,19.539119833963923,19.539119833963923,19.539119833963923,20.473205624963157,21.791151334007736,space,1.312733584025409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,1,2,2,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,1.0469570000423118,None,,,,,,,,,,,,,,,,,,0,1,1,0,0,2,2,2,,,,,,,,,,,,,21.8442875839537,,,,,,,,,,,,,,,,,,21.836255833972245,21.8442875839537,21.8442875839537,21.8442875839537,21.8442875839537,22.7899797919672,23.841035999997985,space,1.0469570000423118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,1,1,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,4,0,0,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,0.7771082500112243,None,,,,,,,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,,,,,23.903469749959186,,,,,,,,,,,,,,,,,,23.894571458979044,23.903469749959186,23.903469749959186,23.903469749959186,23.903469749959186,24.839781416987535,25.623868124966975,space,0.7771082500112243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,4,1,1,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.2889125000219792,None,,,,,,,,,,,,,,,,,,0,2,2,3,0,1,1,1,,,,,,,,,,,,,25.672677833994385,,,,,,,,,,,,,,,,,,25.66427416697843,25.672677833994385,25.672677833994385,25.672677833994385,25.672677833994385,26.62298024998745,26.914095583953895,space,0.2889125000219792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,4,2,2,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.17419720895122737,None,,,,,,,,,,,,,,,,,,0,2,2,3,0,2,2,2,,,,,,,,,,,,,26.964516208972782,,,,,,,,,,,,,,,,,,26.95597554196138,26.964516208972782,26.964516208972782,26.964516208972782,26.964516208972782,27.91245866700774,28.091175749956165,space,0.17419720895122737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,2,2,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,2,0,0,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,1.0168534999829717,None,,,,,,,,,,,,,,,,,,0,3,3,1,0,0,0,0,,,,,,,,,,,,,28.150989041954745,,,,,,,,,,,,,,,,,,28.142614499956835,28.150989041954745,28.150989041954745,28.150989041954745,28.150989041954745,29.0898272919585,30.113623666984495,space,1.0168534999829717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,2,1,1,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.7912083750125021,None,,,,,,,,,,,,,,,,,,0,3,3,1,0,1,1,1,,,,,,,,,,,,,30.166221958992537,,,,,,,,,,,,,,,,,,30.158400084008463,30.166221958992537,30.166221958992537,30.166221958992537,30.166221958992537,31.10679316695314,31.907696084002964,space,0.7912083750125021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,2,2,2,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.3479381250217557,None,,,,,,,,,,,,,,,,,,0,3,3,1,0,2,2,2,,,,,,,,,,,,,31.959606749995146,,,,,,,,,,,,,,,,,,31.951303874957375,31.959606749995146,31.959606749995146,31.959606749995146,31.959606749995146,32.90679395897314,33.25776816700818,space,0.3479381250217557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,3,3,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.260519708972424,33.270567083964124,33.270567083964124,34.513590541959275,space,1.2370763340150006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,0,0,0,,,,,,,,UA,TESTstimuli/TESTscenes/UA_1.jpg,TESTstimuli/TESTscenes/UA_2.jpg,TESTstimuli/TESTscenes/UA_3.jpg,scene_UA_lbl,space,1.7070912909694016,None,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,34.69163283397211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.68133462499827,34.69163283397211,34.69163283397211,34.69163283397211,34.69163283397211,34.69163283397211,36.40779758396093,space,1.7070912909694016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,1,1,0,,,,,,,,UB,TESTstimuli/TESTscenes/UB_1.jpg,TESTstimuli/TESTscenes/UB_2.jpg,TESTstimuli/TESTscenes/UB_3.jpg,scene_UB_lbl,space,1.1650124170118943,None,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,36.5336016669753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.52657241700217,36.5336016669753,36.5336016669753,36.5336016669753,36.5336016669753,36.5336016669753,37.707805084006395,space,1.1650124170118943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,2,2,0,,,,,,,,JA,TESTstimuli/TESTscenes/JA_1.jpg,TESTstimuli/TESTscenes/JA_2.jpg,TESTstimuli/TESTscenes/JA_3.jpg,scene_JA_lbl,space,4.22908700001426,None,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,37.99708987498889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.986708167009056,37.99708987498889,37.99708987498889,37.99708987498889,37.99708987498889,37.99708987498889,42.22997854196001,space,4.22908700001426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,3,3,0,,,,,,,,JB,TESTstimuli/TESTscenes/JB_1.jpg,TESTstimuli/TESTscenes/JB_2.jpg,TESTstimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,space,4.0646536659915,None,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,42.335695749963634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.32670416700421,42.335695749963634,42.335695749963634,42.335695749963634,42.335695749963634,42.335695749963634,46.407473833998665,space,4.0646536659915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.407661583973095,46.416736166982446,46.416736166982446,48.8130300839548,space,2.3922300420235842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.039603666984476,49.05160804197658,49.05160804197658,49.05160804197658,49.05160804197658,49.05160804197658,49.05160804197658,49.05160804197658,49.05160804197658,49.05160804197658,59.37414083397016,space,10.311198833980598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.37423808395397,59.383761458972,59.383761458972,60.76263429195387,space,1.3766812499961816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.96342233399628,60.97415058396291,60.97415058396291,60.97415058396291,60.97415058396291,60.97415058396291,60.97415058396291,60.97415058396291,60.97415058396291,60.97415058396291,75.23069783399114,space,14.25083795801038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.23086816701107,75.24414266698295,75.24414266698295,77.62406091700541,space,2.374209208006505,None,,,,,,,,,,,,,,,,,,,,,,,,,315,001,2026-03-12_10h22.23.663,TEST_training_task,,2025.2.4,None,2026-03-12 10h22.24.909179 +0100,
