scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,part2_feedback.stopped,text_part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,key_part3_instructions_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040905124973505735,0.0506483749486506,0.9954272919567302,2.188996583921835,space,0.842461458989419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
JA,Malbow,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2.231840124935843,,,,,,,,,2.207779916934669,2.2078302919398993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
JB,Negvi,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,2.231840124935843,,,,,,,,,2.2079141669673845,2.2079467088915408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
UA,Tulon,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,2.231840124935843,,,,,,,,,2.2080183340003714,2.208046874962747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
UB,Somar,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,2.231840124935843,,,,,,,,,2.2081136249471456,2.2081411249237135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.208180208923295,2.231840124935843,2.231840124935843,2.7644684589467943,space,0.5267501251073554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,1,0,0,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,0.804471250041388,None,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2.8489169999957085,,,,,,,,,,,,,,,,,,2.8372251669643447,2.8489169999957085,2.8489169999957085,2.8489169999957085,2.8489169999957085,3.7630387499229982,4.571527999942191,space,0.804471250041388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,1,1,1,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.7525094579905272,None,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,4.6268072499660775,,,,,,,,,,,,,,,,,,4.618531166925095,4.6268072499660775,4.6268072499660775,4.6268072499660775,4.6268072499660775,5.574980749981478,6.329698333982378,space,0.7525094579905272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,1,2,2,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.08300641702953726,None,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,6.3830047498922795,,,,,,,,,,,,,,,,,,6.375964166945778,6.3830047498922795,6.3830047498922795,6.3830047498922795,6.3830047498922795,7.328585291979834,7.4135011669714,space,0.08300641702953726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,0,0,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,0.19371391599997878,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,7.482593208900653,,,,,,,,,,,,,,,,,,7.474136041942984,7.482593208900653,7.482593208900653,7.482593208900653,7.482593208900653,8.412644249969162,8.613509708899073,space,0.19371391599997878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.1728317920351401,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,8.668988791992888,,,,,,,,,,,,,,,,,,8.660881458898075,8.668988791992888,8.668988791992888,8.668988791992888,8.668988791992888,9.603475208976306,9.781248291954398,space,0.1728317920351401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.0673492499627173,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,9.838078749948181,,,,,,,,,,,,,,,,,,9.829738708911464,9.838078749948181,9.838078749948181,9.838078749948181,9.838078749948181,10.779930124990642,10.854154041968286,space,0.0673492499627173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,1,1,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,0.1153536660131067,None,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,10.910055416985415,,,,,,,,,,,,,,,,,,10.90116337488871,10.910055416985415,10.910055416985415,10.910055416985415,10.910055416985415,11.851989249931648,11.97098208393436,space,0.1153536660131067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,3,1,1,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.7746558750513941,None,,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,12.024861499899998,,,,,,,,,,,,,,,,,,12.01663866697345,12.024861499899998,12.024861499899998,12.024861499899998,12.024861499899998,12.979618291952647,13.764415333978832,space,0.7746558750513941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,3,2,2,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.7112027080729604,None,,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,13.816444208961911,,,,,,,,,,,,,,,,,,13.80837183399126,13.816444208961911,13.816444208961911,13.816444208961911,13.816444208961911,14.763074041926302,15.480085333925672,space,0.7112027080729604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
