scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,key_part3_instructions_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,0.11781804193742573,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,6.503421708010137,,,,,,,,,,,,,,,,,,6.4943450830178335,6.503421708010137,6.503421708010137,6.503421708010137,6.503421708010137,7.4379343329928815,7.562494665966369,space,0.11781804193742573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.03683704207651317,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,7.717869707965292,,,,,,,,,,,,,,,,,,7.704382666037418,7.717869707965292,7.717869707965292,7.717869707965292,7.717869707965292,8.556936374981888,8.600576082943007,space,0.03683704207651317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.2669970419956371,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,8.691414874978364,,,,,,,,,,,,,,,,,,8.677787333028391,8.691414874978364,8.691414874978364,8.691414874978364,8.691414874978364,9.598787665949203,9.88499845797196,space,0.2669970419956371,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,1,1,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,1,0,0,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,0.05142570903990418,None,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,9.993093249970116,,,,,,,,,,,,,,,,,,9.977235749945976,9.993093249970116,9.993093249970116,9.993093249970116,9.993093249970116,10.882136040949263,10.942454249947332,space,0.05142570903990418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,1,1,1,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.9072071249829605,None,,,,,,,,,,,,,,,,,,0,2,2,0,0,1,1,1,,,,,,,,,11.043000082951039,,,,,,,,,,,,,,,,,,11.027227791026235,11.043000082951039,11.043000082951039,11.043000082951039,11.043000082951039,11.937425125041045,12.850435083033517,space,0.9072071249829605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,1,2,2,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.17666037508752197,None,,,,,,,,,,,,,,,,,,0,2,2,0,0,2,2,2,,,,,,,,,12.934771165950224,,,,,,,,,,,,,,,,,,12.92097191605717,12.934771165950224,12.934771165950224,12.934771165950224,12.934771165950224,13.842121624969877,14.02476729103364,space,0.17666037508752197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,2,2,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,0.039445457980036736,None,,,,,,,,,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,,,,,14.12868508300744,,,,,,,,,,,,,,,,,,14.113170083030127,14.12868508300744,14.12868508300744,14.12868508300744,14.12868508300744,15.023128833039664,15.066570666036569,space,0.039445457980036736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,3,1,1,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.796638915897347,None,,,,,,,,,,,,,,,,,,0,3,3,2,0,1,1,1,,,,,,,,,15.117948540952057,,,,,,,,,,,,,,,,,,15.109199124970473,15.117948540952057,15.117948540952057,15.117948540952057,15.117948540952057,16.056995125021785,16.858019500039518,space,0.796638915897347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
