scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,key_part3_instructions_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,3,2,2,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.1741850000107661,None,,,,,,,,,,,,,,,,,,0,3,3,2,0,2,2,2,,,,,,,,,16.909043416031636,,,,,,,,,,,,,,,,,,16.901386708021164,16.909043416031636,16.909043416031636,16.909043416031636,16.909043416031636,17.856359540950507,18.033763207960874,space,0.1741850000107661,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,3,3,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.036224707961082,18.046077291015536,18.046077291015536,19.218579499982297,space,1.1694694169564173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,0,0,0,,,,,,,,UB,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,stimuli/TESTscenes/UB_3.jpg,scene_UB_lbl,space,1.054517374956049,None,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,19.453918750048615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4437855000142,19.453918750048615,19.453918750048615,19.453918750048615,19.453918750048615,19.453918750048615,20.517862500040792,space,1.054517374956049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,1,1,0,,,,,,,,UA,stimuli/TESTscenes/UA_1.jpg,stimuli/TESTscenes/UA_2.jpg,stimuli/TESTscenes/UA_3.jpg,scene_UA_lbl,space,1.017545917071402,None,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,20.660852208035067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.65044687502086,20.660852208035067,20.660852208035067,20.660852208035067,20.660852208035067,20.660852208035067,21.683521874947473,space,1.017545917071402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,2,2,0,,,,,,,,JA,stimuli/TESTscenes/JA_1.jpg,stimuli/TESTscenes/JA_2.jpg,stimuli/TESTscenes/JA_3.jpg,scene_JA_lbl,space,0.9547410839004442,None,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,21.967655166052282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.959393040975556,21.967655166052282,21.967655166052282,21.967655166052282,21.967655166052282,21.967655166052282,22.93335595796816,space,0.9547410839004442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,3,3,0,,,,,,,,JB,stimuli/TESTscenes/JB_1.jpg,stimuli/TESTscenes/JB_2.jpg,stimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,space,0.9093347500311211,None,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,23.066106333048083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.057441040989943,23.066106333048083,23.066106333048083,23.066106333048083,23.066106333048083,23.066106333048083,23.983988624997437,space,0.9093347500311211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.984361040988006,23.993808540981263,23.993808540981263,24.93347533303313,space,0.9344982500188053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.16820633294992,25.179691207944416,25.179691207944416,25.179691207944416,25.179691207944416,25.179691207944416,25.179691207944416,25.179691207944416,25.179691207944416,25.179691207944416,26.28359875001479,space,1.0976680829189718,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.283695750054903,26.296407707966864,26.296407707966864,27.61567800003104,space,1.308857792057097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.898866540985182,27.914566374965943,27.914566374965943,27.914566374965943,27.914566374965943,27.914566374965943,27.914566374965943,27.914566374965943,27.914566374965943,27.914566374965943,31.54149666603189,space,3.622636834043078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.54158058296889,31.551767666009255,31.551767666009255,32.584026415948756,space,1.0304642919218168,None,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,2,0,0,0,,TESTstimuli/TESTscenes/JB_2.jpg,,,,,,,,,,,,,,Malbow,2,1,0.45142200007103384,None,,,,,,,,,,,,,,,,,0,0,0,4,32.958051083027385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.94786125002429,32.958051083027385,33.587667332962155,33.59724150004331,33.60364958294667,33.60364958294667,34.067948875017464,2,1,0.45142200007103384,None,34.072749166050926,34.083901625010185,35.114890999975614,35.06686400005128,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,3,1,1,0,,TESTstimuli/TESTscenes/UA_2.jpg,,,,,,,,,,,,,,Negvi,3,1,0.37052849994506687,None,,,,,,,,,,,,,,,,,0,1,1,7,35.114890999975614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.11004895798396,35.114890999975614,36.07122708298266,36.07136904099025,36.082505458034575,36.082505458034575,36.45669649995398,3,1,0.37052849994506687,None,36.45686549996026,36.468598083010875,37.49959829100408,37.45494837500155,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,3,2,2,0,,TESTstimuli/TESTscenes/UA_3.jpg,,,,,,,,,,,,,,Negvi,3,1,0.6736742500215769,None,,,,,,,,,,,,,,,,,0,2,2,8,37.49959829100408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.494741291040555,37.49959829100408,38.466154415975325,38.4663705000421,38.47238129097968,38.47238129097968,39.15170158294495,3,1,0.6736742500215769,None,39.15191666595638,39.16342820797581,40.2262420830084,40.14968441601377,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,4,3,3,0,,TESTstimuli/TESTscenes/UB_2.jpg,,,,,,,,,,,,,,Somar,4,1,0.3431460839929059,None,,,,,,,,,,,,,,,,,0,3,3,10,40.2262420830084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.22145454096608,40.2262420830084,41.155486540985294,41.15564787504263,41.16573133296333,41.16573133296333,41.517328083049506,4,1,0.3431460839929059,None,41.51751962502021,41.52825333294459,42.556531207985245,42.516640083049424,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,4,4,4,0,,TESTstimuli/TESTscenes/UB_1.jpg,,,,,,,,,,,,,,Somar,4,1,0.2812685000244528,None,,,,,,,,,,,,,,,,,0,4,4,9,42.556531207985245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.551482790964656,42.556531207985245,43.5220759579679,43.522218958009034,43.53261124994606,43.53261124994606,43.81855608301703,4,1,0.2812685000244528,None,43.81885699997656,43.831250624964014,44.89227579103317,44.8164507499896,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,2,5,5,0,,TESTstimuli/TESTscenes/JB_1.jpg,,,,,,,,,,,,,,Malbow,2,1,1.2312974170781672,None,,,,,,,,,,,,,,,,,0,5,5,3,44.89227579103317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88733929104637,44.89227579103317,45.82103845803067,45.8211850830121,45.83253229095135,45.83253229095135,47.067096541053616,2,1,1.2312974170781672,None,47.067271708045155,47.07907154096756,48.11756195803173,48.0661080830032,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,2,6,6,0,,TESTstimuli/TESTscenes/JB_3.jpg,,,,,,,,,,,,,,Malbow,2,1,0.3339088329812512,None,,,,,,,,,,,,,,,,,0,6,6,5,48.11756195803173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.112176041002385,48.11756195803173,49.07221383298747,49.07238599995617,49.0828547909623,49.0828547909623,49.42322891601361,2,1,0.3339088329812512,None,49.423391332966276,49.43543404096272,50.501437500002794,50.42191095801536,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,4,7,7,0,,TESTstimuli/TESTscenes/UB_3.jpg,,,,,,,,,,,,,,Somar,4,1,0.3990244170418009,None,,,,,,,,,,,,,,,,,0,7,7,11,50.501437500002794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4965389999561,50.501437500002794,51.432980290963314,51.433081040973775,51.438688040943816,51.438688040943816,51.849804332945496,4,1,0.3990244170418009,None,51.84997891599778,51.860469582956284,52.92757204105146,52.849825000041164,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,3,8,8,0,,TESTstimuli/TESTscenes/UA_1.jpg,,,,,,,,,,,,,,Negvi,3,1,0.30142787494696677,None,,,,,,,,,,,,,,,,,0,8,8,6,52.92757204105146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.922574208001606,52.92757204105146,53.85432291601319,53.85444341599941,53.86612575000618,53.86612575000618,54.17328645801172,3,1,0.30142787494696677,None,54.173453374998644,54.18513104098383,55.276508208015,55.17216566600837,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,1,9,9,0,,TESTstimuli/TESTscenes/JA_1.jpg,,,,,,,,,,,,,,Tulon,1,1,0.33621629094704986,None,,,,,,,,,,,,,,,,,0,9,9,0,55.276508208015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.271725832950324,55.276508208015,56.18241741601378,56.1825359580107,56.188265040982515,56.188265040982515,56.534410750027746,1,1,0.33621629094704986,None,56.53807725000661,56.548851707950234,57.54130212496966,57.53272479097359,,,,,510,001,2026-03-29_17h35.13.333,TEST_training_task,,2025.2.4,None,2026-03-29 17h35.14.361321 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.53300937497988,57.54130212496966,57.54130212496966,62.53842954104766,,,,,,,,,
