scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,qst_num,question,options,correct_answer,label_current,scene_left,scene_right,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,p3_scene_loop.thisRepN,p3_scene_loop.thisTrialN,p3_scene_loop.thisN,p3_scene_loop.thisIndex,p3_vis_loop.thisRepN,p3_vis_loop.thisTrialN,p3_vis_loop.thisN,p3_vis_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,part3_instructions_2.stopped,key_part3_instructions_2.keys,key_part3_instructions_2.rt,key_part3_instructions_2.duration,p3_reset_vis_vars.started,p3_reset_vis_vars.stopped,p3_skip_answered_questions.started,p3_skip_answered_questions.stopped,p3_blank1000.started,text.started,text.stopped,p3_blank1000.stopped,p3_visualize.started,text_p3_visualize.started,textbox_scene_name_2.started,p3_visualize.stopped,p3_rate.started,text_rate_2.started,key_rate_2.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,1,0,0,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,6.40892649901798,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,7.783553417015355,,,,,,,,,,,,,,,,,,7.775877124979161,7.783553417015355,7.783553417015355,7.783553417015355,7.783553417015355,7.783553417015355,14.19674187497003,space,6.40892649901798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,1,1,1,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,3.6843884580302984,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,14.261715333967004,,,,,,,,,,,,,,,,,,14.253453083976638,14.261715333967004,14.261715333967004,14.261715333967004,14.261715333967004,14.261715333967004,17.954194959020242,space,3.6843884580302984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,1,2,2,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,4.208568333007861,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,2,2,2,,,,,,,,,,,,,,,,,18.013998584006913,,,,,,,,,,,,,,,,,,18.00675008399412,18.013998584006913,18.013998584006913,18.013998584006913,18.013998584006913,18.013998584006913,22.22996329201851,space,4.208568333007861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,1,1,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,0.4827564580482431,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,,,,,,,,,22.35050300002331,,,,,,,,,,,,,,,,,,22.34324800001923,22.35050300002331,22.35050300002331,22.35050300002331,22.35050300002331,22.35050300002331,22.836409666982945,space,0.4827564580482431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,1.4676327910274267,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,1,1,1,,,,,,,,,,,,,,,,,22.897573042020667,,,,,,,,,,,,,,,,,,22.889730124967173,22.897573042020667,22.897573042020667,22.897573042020667,22.897573042020667,22.897573042020667,24.370880124974065,space,1.4676327910274267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,1.8683825829648413,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,2,2,2,,,,,,,,,,,,,,,,,24.42672504199436,,,,,,,,,,,,,,,,,,24.419335416983813,24.42672504199436,24.42672504199436,24.42672504199436,24.42672504199436,24.42672504199436,26.296554291970097,space,1.8683825829648413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,2,2,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,1.9254430829896592,None,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,,,,,,,,,,,,,26.406599959009327,,,,,,,,,,,,,,,,,,26.400021417008247,26.406599959009327,26.406599959009327,26.406599959009327,26.406599959009327,26.406599959009327,28.33628533402225,space,1.9254430829896592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,3,1,1,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,2.987324541027192,None,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,0,1,1,1,,,,,,,,,,,,,,,,,28.39462087501306,,,,,,,,,,,,,,,,,,28.386796000006143,28.39462087501306,28.39462087501306,28.39462087501306,28.39462087501306,28.39462087501306,31.385249625018332,space,2.987324541027192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,3,2,2,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.4487532079801895,None,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,0,2,2,2,,,,,,,,,,,,,,,,,31.43729724996956,,,,,,,,,,,,,,,,,,31.429570625012275,31.43729724996956,31.43729724996956,31.43729724996956,31.43729724996956,31.43729724996956,31.89703420898877,space,0.4487532079801895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,3,3,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9004351249896,31.91213324997807,31.91213324997807,35.86961333401268,space,3.9537319989758544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,0,0,0,,,,,,,,UB,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,stimuli/TESTscenes/UB_3.jpg,scene_UB_lbl,space,0.5692102919565514,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,35.96367404196644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.95345833397005,35.96367404196644,35.96367404196644,35.96367404196644,35.96367404196644,35.96367404196644,36.53720066702226,space,0.5692102919565514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,1,1,0,,,,,,,,UA,stimuli/TESTscenes/UA_1.jpg,stimuli/TESTscenes/UA_2.jpg,stimuli/TESTscenes/UA_3.jpg,scene_UA_lbl,space,0.2530444989679381,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,36.59084866702324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.58199216698995,36.59084866702324,36.59084866702324,36.59084866702324,36.59084866702324,36.59084866702324,36.84694533399306,space,0.2530444989679381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,2,2,0,,,,,,,,JA,stimuli/TESTscenes/JA_1.jpg,stimuli/TESTscenes/JA_2.jpg,stimuli/TESTscenes/JA_3.jpg,scene_JA_lbl,space,0.27761049900436774,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,36.90426091698464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.895526208973024,36.90426091698464,36.90426091698464,36.90426091698464,36.90426091698464,36.90426091698464,37.18600916699506,space,0.27761049900436774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
