scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,qst_num,question,options,correct_answer,label_current,scene_left,scene_right,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,p3_scene_loop.thisRepN,p3_scene_loop.thisTrialN,p3_scene_loop.thisN,p3_scene_loop.thisIndex,p3_vis_loop.thisRepN,p3_vis_loop.thisTrialN,p3_vis_loop.thisN,p3_vis_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,part3_instructions_2.stopped,key_part3_instructions_2.keys,key_part3_instructions_2.rt,key_part3_instructions_2.duration,p3_reset_vis_vars.started,p3_reset_vis_vars.stopped,p3_skip_answered_questions.started,p3_skip_answered_questions.stopped,p3_blank1000.started,text.started,text.stopped,p3_blank1000.stopped,p3_visualize.started,text_p3_visualize.started,textbox_scene_name_2.started,p3_visualize.stopped,p3_rate.started,text_rate_2.started,key_rate_2.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,3,3,0,,,,,,,,JB,stimuli/TESTscenes/JB_1.jpg,stimuli/TESTscenes/JB_2.jpg,stimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,space,0.2614158749929629,None,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,37.245354250015225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.23675529198954,37.245354250015225,37.245354250015225,37.245354250015225,37.245354250015225,37.245354250015225,37.51357495901175,space,0.2614158749929629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.51380616700044,37.52542616700521,37.52542616700521,38.01356654200936,space,0.48442020802758634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0860857500229,38.09740679198876,38.09740679198876,38.09740679198876,38.09740679198876,38.09740679198876,38.09740679198876,38.09740679198876,38.09740679198876,38.09740679198876,38.73741075000726,space,0.631400250014849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.73749279201729,38.74752408399945,38.74752408399945,39.997970499971416,space,1.24531000002753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.073396916966885,40.08325383398915,40.08325383398915,40.08325383398915,40.08325383398915,40.08325383398915,40.08325383398915,40.08325383398915,40.08325383398915,40.08325383398915,40.62784216698492,space,0.5415307080256753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.62791224999819,40.63284804200521,40.63284804200521,41.813795541995205,space,1.1749324169941247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,2,0,0,0,,TESTstimuli/TESTscenes/JB_1.jpg,,,,,,,,,,,,,,Malbow,3,0,0.7685883739613928,None,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,42.115747042000294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.10882104199845,42.115747042000294,42.817861999967135,42.83316070900764,42.839189291989896,42.839189291989896,43.61378345900448,3,0,0.7685883739613928,None,43.61917354201432,43.62991025001975,44.63959575002082,44.612705249979626,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,4,1,1,0,,TESTstimuli/TESTscenes/UB_2.jpg,,,,,,,,,,,,,,Somar,4,1,0.25093499902868643,None,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,10,,,,,,,,,44.63959575002082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.63466491701547,44.63959575002082,45.61770733399317,45.617822083993815,45.62874058401212,45.62874058401212,45.886222000001,4,1,0.25093499902868643,None,45.891193874995224,45.9004851669888,46.91800474998308,46.885296916996595,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,2,2,2,0,,TESTstimuli/TESTscenes/JB_3.jpg,,,,,,,,,,,,,,Malbow,2,1,0.21208087401464581,None,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,46.91800474998308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.913144499994814,46.91800474998308,47.89533054200001,47.89556179201463,47.901543458981905,47.901543458981905,48.11926175002009,2,1,0.21208087401464581,None,48.11942825000733,48.13088150002295,49.14549562497996,49.1182842089911,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,4,3,3,0,,TESTstimuli/TESTscenes/UB_1.jpg,,,,,,,,,,,,,,Somar,4,1,0.26975420804228634,None,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,9,,,,,,,,,49.14549562497996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.140167083998676,49.14549562497996,50.12851962499553,50.12875208398327,50.134787041984964,50.134787041984964,50.41311812499771,4,1,0.26975420804228634,None,50.413278999971226,50.42369004199281,51.4428130419692,51.41231462499127,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,2,4,4,0,,TESTstimuli/TESTscenes/JB_2.jpg,,,,,,,,,,,,,,Malbow,2,1,0.31995704100700095,None,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,51.4428130419692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.43795091699576,51.4428130419692,52.417975625023246,52.41810983401956,52.428427167003974,52.428427167003974,52.75249433401041,2,1,0.31995704100700095,None,52.75265983399004,52.76409395900555,53.77538941701641,53.750553208985366,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,3,5,5,0,,TESTstimuli/TESTscenes/UA_3.jpg,,,,,,,,,,,,,,Negvi,3,1,0.23886508302530274,None,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,53.77538941701641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.770625291974284,53.77538941701641,54.76224116701633,54.762478124990594,54.768711249984335,54.768711249984335,55.01438624999719,3,1,0.23886508302530274,None,55.01455283397809,55.028371208987664,56.03907854197314,56.01230466697598,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,1,6,6,0,,TESTstimuli/TESTscenes/JA_1.jpg,,,,,,,,,,,,,,Tulon,1,1,0.21957037498941645,None,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,56.03907854197314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.034063791972585,56.03907854197314,57.01738391700201,57.01751020899974,57.0286777089932,57.0286777089932,57.261921041994356,1,1,0.21957037498941645,None,57.26323762501124,57.268912750005256,58.27142191701569,58.26240383397089,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.26279775000876,58.27142191701569,58.27142191701569,59.14686708396766,space,0.8668500420171767,None,,,,,,,,,,,,,,,,350,001,2026-04-26_19h41.30.481,TEST_training_task,,2025.2.4,2026-04-26 19h41.31.565399 +0200,
,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,3,What type of vegetation was most visually prominent?,"1. Wide wing-like trees and green leaves
2.Tall trees with vines and moss
3. Bright tropical flowers and open palm trees",2,Tulon,stimuli/TESTscenes/JB_1.jpg,stimuli/TESTscenes/JB_2.jpg,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,59.21736187499482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.14800679200562,59.14811499998905,59.20529050001642,59.20535195898265,59.20537283399608,59.21736187499482,60.24115541699575,60.201496166992,60.22768608399201,60.24115541699575,60.24115541699575,64.21167470898945,64.21172216697596,64.21695058397017,64.21695058397017,,,,,,,,
