scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,part2_feedback.stopped,text_part2_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,0.8749805419938639,None,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,7.489584083028603,,,,,,,,,,,,,,,,,,7.4828083330066875,7.489584083028603,7.489584083028603,7.489584083028603,7.489584083028603,7.489584083028603,8.367054165981244,space,0.8749805419938639,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
,,,3,1,1,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.8818089999840595,None,,,,,,,,,,,,,,,,,,0,1,1,2,0,1,1,1,,,,,,,,,8.425768790999427,,,,,,,,,,,,,,,,,,8.418028165993746,8.425768790999427,8.425768790999427,8.425768790999427,8.425768790999427,8.425768790999427,9.315083833003882,space,0.8818089999840595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
,,,3,2,2,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.7009965410106815,None,,,,,,,,,,,,,,,,,,0,1,1,2,0,2,2,2,,,,,,,,,9.36651870800415,,,,,,,,,,,,,,,,,,9.358808790973853,9.36651870800415,9.36651870800415,9.36651870800415,9.36651870800415,9.36651870800415,10.076629833027255,space,0.7009965410106815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
,,,,1,1,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,1.065951541007962,None,,,,,,,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,10.205518333008513,,,,,,,,,,,,,,,,,,10.195516582985874,10.205518333008513,10.205518333008513,10.205518333008513,10.205518333008513,10.205518333008513,11.276587540982291,space,1.065951541007962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.7097089170129038,None,,,,,,,,,,,,,,,,,,0,2,2,3,0,1,1,1,,,,,,,,,11.332784958009142,,,,,,,,,,,,,,,,,,11.32515054102987,11.332784958009142,11.332784958009142,11.332784958009142,11.332784958009142,11.332784958009142,12.049465499992948,space,0.7097089170129038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.7068468329962343,None,,,,,,,,,,,,,,,,,,0,2,2,3,0,2,2,2,,,,,,,,,12.098515000019688,,,,,,,,,,,,,,,,,,12.091344790998846,12.098515000019688,12.098515000019688,12.098515000019688,12.098515000019688,12.098515000019688,12.808866665989626,space,0.7068468329962343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
,,,,2,2,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,0.7077128330129199,None,,,,,,,,,,,,,,,,,,0,3,3,1,0,0,0,0,,,,,,,,,12.92777779098833,,,,,,,,,,,,,,,,,,12.920662958000321,12.92777779098833,12.92777779098833,12.92777779098833,12.92777779098833,12.92777779098833,13.643770208000205,space,0.7077128330129199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.6699378740158863,None,,,,,,,,,,,,,,,,,,0,3,3,1,0,1,1,1,,,,,,,,,13.704425457981415,,,,,,,,,,,,,,,,,,13.69693149998784,13.704425457981415,13.704425457981415,13.704425457981415,13.704425457981415,13.704425457981415,14.376920290989801,space,0.6699378740158863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,001,2026-04-26_19h17.21.415,TEST_training_task,,2025.2.4,2026-04-26 19h17.22.479766 +0200,
