scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.1438020839705132,0.1779749589622952,0.990608166961465,19.31110049999552,space,18.08281450002687,None,,,,,,,,,,320,001,2026-05-27_09h46.37.788,TEST_training_task,,2025.2.4,2026-05-27 09h46.38.632700 -0400,
JA,Negvi,stimuli/scenes/JA_1.jpg,1,0,0,0,,,,,0,0,0,0,,,,,,,,,19.353640499990433,,,,,,,,,19.326186791993678,19.32621787500102,,,,,,,,320,001,2026-05-27_09h46.37.788,TEST_training_task,,2025.2.4,2026-05-27 09h46.38.632700 -0400,
JB,Malbow,stimuli/scenes/JB_1.jpg,2,1,1,0,,,,,0,1,1,1,,,,,,,,,19.353640499990433,,,,,,,,,19.326270499965176,19.326289666991215,,,,,,,,320,001,2026-05-27_09h46.37.788,TEST_training_task,,2025.2.4,2026-05-27 09h46.38.632700 -0400,
UA,Tulon,stimuli/scenes/UA_1.jpg,3,2,2,0,,,,,0,2,2,2,,,,,,,,,19.353640499990433,,,,,,,,,19.326334166980814,19.326350541959982,,,,,,,,320,001,2026-05-27_09h46.37.788,TEST_training_task,,2025.2.4,2026-05-27 09h46.38.632700 -0400,
UB,Somar,stimuli/scenes/UB_1.jpg,4,3,3,0,,,,,0,3,3,3,,,,,,,,,19.353640499990433,,,,,,,,,19.32638958399184,19.326405291969422,,,,,,,,320,001,2026-05-27_09h46.37.788,TEST_training_task,,2025.2.4,2026-05-27 09h46.38.632700 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.326430167013314,19.353640499990433,19.353640499990433,21.55875029199524,space,2.2026987080462277,None,320,001,2026-05-27_09h46.37.788,TEST_training_task,,2025.2.4,2026-05-27 09h46.38.632700 -0400,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,,,,,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
