scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,1,0,0,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,1.222754791029729,None,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,30.972287042008247,,,,,,,,,,,,,,,,,,30.96516858303221,30.972287042008247,30.972287042008247,30.972287042008247,30.972287042008247,30.972287042008247,32.20282425003825,space,1.222754791029729,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,1,1,1,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,1.1779889580211602,None,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,,,,,,,,,32.30004112503957,,,,,,,,,,,,,,,,,,32.2874058749876,32.30004112503957,32.30004112503957,32.30004112503957,32.30004112503957,32.30004112503957,33.48760362499161,space,1.1779889580211602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,1,2,2,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.9470542490016669,None,,,,,,,,,,,,,,0,1,1,0,0,2,2,2,,,,,,,,,33.543888541986234,,,,,,,,,,,,,,,,,,33.536344500025734,33.543888541986234,33.543888541986234,33.543888541986234,33.543888541986234,33.543888541986234,34.493762083002366,space,0.9470542490016669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,1,1,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,1.0141214999603108,None,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,34.60290891700424,,,,,,,,,,,,,,,,,,34.59576904203277,34.60290891700424,34.60290891700424,34.60290891700424,34.60290891700424,34.60290891700424,35.61964575003367,space,1.0141214999603108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,3,1,1,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,1.3505531250266358,None,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,35.6794444170082,,,,,,,,,,,,,,,,,,35.67170987499412,35.6794444170082,35.6794444170082,35.6794444170082,35.6794444170082,35.6794444170082,37.0362827500212,space,1.3505531250266358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,3,2,2,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,1.0911028329865076,None,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,37.08586270798696,,,,,,,,,,,,,,,,,,37.07873695803573,37.08586270798696,37.08586270798696,37.08586270798696,37.08586270798696,37.08586270798696,38.18849562504329,space,1.0911028329865076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,2,2,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,1.155604208004661,None,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,38.298284417018294,,,,,,,,,,,,,,,,,,38.291138875007164,38.298284417018294,38.298284417018294,38.298284417018294,38.298284417018294,38.298284417018294,39.46152887499193,space,1.155604208004661,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,1.2018450410105288,None,,,,,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,39.51791350002168,,,,,,,,,,,,,,,,,,39.509556417004205,39.51791350002168,39.51791350002168,39.51791350002168,39.51791350002168,39.51791350002168,40.72651070798747,space,1.2018450410105288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
