scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,5.132108999998309,None,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,11.17325891595101,,,,,,,,,,,,,,,,,,11.166456249949988,11.17325891595101,11.17325891595101,11.17325891595101,11.17325891595101,11.17325891595101,16.30875087500317,space,5.132108999998309,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.6401925830286928,None,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,16.372954207996372,,,,,,,,,,,,,,,,,,16.364554915984627,16.372954207996372,16.372954207996372,16.372954207996372,16.372954207996372,16.372954207996372,17.019299165986013,space,0.6401925830286928,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.5596075829816982,None,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,17.07537458295701,,,,,,,,,,,,,,,,,,17.067919499997515,17.07537458295701,17.07537458295701,17.07537458295701,17.07537458295701,17.07537458295701,17.64277687499998,space,0.5596075829816982,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,,1,1,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,1,0,0,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,5.472773874993436,None,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,17.774246874963865,,,,,,,,,,,,,,,,,,17.766406082955655,17.774246874963865,17.774246874963865,17.774246874963865,17.774246874963865,17.774246874963865,23.252591540978756,space,5.472773874993436,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,1,1,1,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,1.1035572080290876,None,,,,,,,,,,,,,0,2,2,0,0,1,1,1,,,,,23.317057832959108,,,,,,,,,,,,,,,,,,23.308894791000057,23.317057832959108,23.317057832959108,23.317057832959108,23.317057832959108,23.317057832959108,24.426487665972672,space,1.1035572080290876,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,1,2,2,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.7447596249985509,None,,,,,,,,,,,,,0,2,2,0,0,2,2,2,,,,,24.48186458298005,,,,,,,,,,,,,,,,,,24.474387875001412,24.48186458298005,24.48186458298005,24.48186458298005,24.48186458298005,24.48186458298005,25.2355910409824,space,0.7447596249985509,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,,2,2,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,2.9773522499599494,None,,,,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,25.345211540989112,,,,,,,,,,,,,,,,,,25.338561332959216,25.345211540989112,25.345211540989112,25.345211540989112,25.345211540989112,25.345211540989112,28.326167999999598,space,2.9773522499599494,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,3,1,1,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.9906859169714153,None,,,,,,,,,,,,,0,3,3,2,0,1,1,1,,,,,28.382911166001577,,,,,,,,,,,,,,,,,,28.375188374950085,28.382911166001577,28.382911166001577,28.382911166001577,28.382911166001577,28.382911166001577,29.375845290953293,space,0.9906859169714153,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,3,2,2,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.4394510409911163,None,,,,,,,,,,,,,0,3,3,2,0,2,2,2,,,,,29.42595329094911,,,,,,,,,,,,,,,,,,29.418718250002712,29.42595329094911,29.42595329094911,29.42595329094911,29.42595329094911,29.42595329094911,29.869316749973223,space,0.4394510409911163,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,,3,3,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.872765874955803,29.8857238329947,29.8857238329947,31.986062124953605,space,2.0986567080253735,None,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,,0,0,0,,,,,,,,JA,stimuli/TESTscenes/JA_1.jpg,stimuli/TESTscenes/JA_2.jpg,stimuli/TESTscenes/JA_3.jpg,scene_JA_lbl,space,1.1906695420038886,None,,,,,,,,,,,,,0,0,0,0,32.089744416007306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.08050095796352,32.089744416007306,32.089744416007306,32.089744416007306,32.089744416007306,32.089744416007306,33.28670654096641,space,1.1906695420038886,None,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,,1,1,0,,,,,,,,JB,stimuli/TESTscenes/JB_1.jpg,stimuli/TESTscenes/JB_2.jpg,stimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,,,,,,,,,,,,,,,,0,1,1,1,33.35339974996168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34447387495311,33.35339974996168,33.35339974996168,33.35339974996168,33.35339974996168,33.35339974996168,,,,,,,,,,,,
